Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
International Journal of Biological Sciences,1449-2288,1449-2288,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),10,Q1,26/319
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,0925-5273,1873-7579,"ENGINEERING, INDUSTRIAL(SCIE);ENGINEERING, MANUFACTURING(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",10,Q1,5/106
Laser & Photonics Reviews,1863-8880,1863-8899,"OPTICS(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",10,Q1,10/125
IEEE Transactions on Sustainable Energy,1949-3029,1949-3037,"ENERGY & FUELS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)",10,Q1,18/366
Journal of Cleaner Production,0959-6526,1879-1786,"ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)",10,Q1,23/374
Advances in Geo-Energy Research,2207-9963,2208-598X,"ENERGY & FUELS(ESCI);GEOSCIENCES, MULTIDISCIPLINARY(ESCI)",10,Q1,6/258
PLOS MEDICINE,1549-1277,1549-1676,"MEDICINE, GENERAL & INTERNAL(SCIE)",9.9,Q1,13/332
Ultrafast Science,2097-0331,2765-8791,OPTICS(ESCI),9.9,Q1,11/125
Journal of Supply Chain Management,1523-2409,1745-493X,MANAGEMENT(SSCI),9.9,Q1,14/420
IEEE Transactions on Industrial Informatics,1551-3203,1941-0050,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, INDUSTRIAL(SCIE)",9.9,Q1,9/175
ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);ENGINEERING, MULTIDISCIPLINARY(SCIE)",9.9,Q1,4/175
AMERICAN JOURNAL OF HEMATOLOGY,0361-8609,1096-8652,HEMATOLOGY(SCIE),9.9,Q1,10/98
Studies in Science Education,0305-7267,1940-8412,"EDUCATION & EDUCATIONAL RESEARCH(SSCI);EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)",9.9,Q1,2/86
TRANSPORT REVIEWS,0144-1647,1464-5327,TRANSPORTATION(SSCI),9.9,Q1,3/61
Microsystems & Nanoengineering,2055-7434,2055-7434,INSTRUMENTS & INSTRUMENTATION(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE),9.9,Q1,1/79
Battery Energy,2768-1688,2768-1696,"ELECTROCHEMISTRY(ESCI);ENERGY & FUELS(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",9.9,Q1,5/44
Energy Strategy Reviews,2211-467X,2211-4688,ENERGY & FUELS(SCIE),9.9,Q1,24/182
Annual Review of Microbiology,0066-4227,1545-3251,MICROBIOLOGY(SCIE),9.9,Q1,12/163
International Review of Financial Analysis,1057-5219,1873-8079,"BUSINESS, FINANCE(SSCI)",9.8,Q1,2/241
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,1552-9924,"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TOXICOLOGY(SCIE)",9.8,Q1,3/106
IEEE TRANSACTIONS ON MEDICAL IMAGING,0278-0062,1558-254X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, BIOMEDICAL(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",9.8,Q1,5/212
IEEE Transactions on Affective Computing,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, CYBERNETICS(SCIE)",9.8,Q1,2/31
IEEE Transactions on Smart Grid,1949-3053,1949-3061,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",9.8,Q1,19/366
Circulation-Arrhythmia and Electrophysiology,1941-3149,1941-3084,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),9.8,Q1,15/230
Journal of Business Research,0148-2963,1873-7978,BUSINESS(SSCI),9.8,Q1,14/316
Food Chemistry,0308-8146,1873-7072,"CHEMISTRY, APPLIED(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE);NUTRITION & DIETETICS(SCIE)",9.8,Q1,4/112
DESALINATION,0011-9164,1873-4464,"ENGINEERING, CHEMICAL(SCIE);WATER RESOURCES(SCIE)",9.8,Q1,4/131
COMPOSITES SCIENCE AND TECHNOLOGY,0266-3538,1879-1050,"MATERIALS SCIENCE, COMPOSITES(SCIE)",9.8,Q1,5/34
Journal of Energy Storage,2352-152X,2352-1538,ENERGY & FUELS(SCIE),9.8,Q1,26/182
Progress in Energy,N/A,2516-1083,ENERGY & FUELS(ESCI),9.8,Q1,26/182
JAMA Network Open,2574-3805,2574-3805,"MEDICINE, GENERAL & INTERNAL(SCIE)",9.7,Q1,14/332
LEADERSHIP QUARTERLY,1048-9843,1873-3409,"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)",9.7,Q1,2/115
IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1941-0077,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);TELECOMMUNICATIONS(SCIE)",9.7,Q1,4/128
ULTRASONICS SONOCHEMISTRY,1350-4177,1873-2828,"ACOUSTICS(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE)",9.7,Q1,1/41
Health Psychology Review,1743-7199,1743-7202,"PSYCHOLOGY, CLINICAL(SSCI)",9.7,Q1,4/185
Materials Today Physics,2542-5293,2542-5293,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)",9.7,Q1,20/187
SLEEP MEDICINE REVIEWS,1087-0792,1532-2955,CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE),9.7,Q1,7/285
ENVIRONMENT INTERNATIONAL,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES(SCIE),9.7,Q1,25/374
JOURNAL OF COLLOID AND INTERFACE SCIENCE,0021-9797,1095-7103,"CHEMISTRY, PHYSICAL(SCIE)",9.7,Q1,31/185
CLINICAL SOCIAL WORK JOURNAL,0091-1674,1573-3343,SOCIAL WORK(SSCI),1.6,Q2,24/94
Linguistic Typology,1430-0532,1613-415X,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),1.6,Q2,80/303
Learning Disabilities Research & Practice,0938-8982,1540-5826,"EDUCATION, SPECIAL(SSCI);REHABILITATION(SSCI)",1.6,Q1,14/62
Mediterranean Politics,1362-9395,1743-9418,AREA STUDIES(SSCI);INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),1.6,Q1,22/182
Review of African Political Economy,0305-6244,1740-1720,AREA STUDIES(SSCI);POLITICAL SCIENCE(SSCI),1.6,Q1,22/182
Journal of East Asian Studies,1598-2408,2234-6643,AREA STUDIES(SSCI),1.6,Q1,22/182
First Language,0142-7237,1740-2344,"LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI);PSYCHOLOGY, DEVELOPMENTAL(SSCI)",1.6,Q2,80/303
Journal of Advanced Academics,1932-202X,2162-9536,"EDUCATION, SPECIAL(ESCI)",1.6,Q1,14/62
Journal of Criminal Psychology,2009-3829,2009-3829,CRIMINOLOGY & PENOLOGY(ESCI),1.6,Q2,43/111
Analysis and Mathematical Physics,1664-2368,1664-235X,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",1.6,Q1,53/483
INDUSTRIAL LAW JOURNAL,0305-9332,1464-3669,INDUSTRIAL RELATIONS & LABOR(SSCI);LAW(SSCI),1.6,Q1,74/434
Psychology of Music,0305-7356,1741-3087,"MUSIC(AHCI);PSYCHOLOGY, APPLIED(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",1.6,Q3,70/115
Educational Assessment Evaluation and Accountability,1874-8597,1874-8600,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1.6,Q2,280/756
Intellectual and Developmental Disabilities,1934-9491,1934-9556,"EDUCATION, SPECIAL(SSCI);REHABILITATION(SSCI)",1.6,Q1,14/62
Axioms,N/A,2075-1680,"MATHEMATICS, APPLIED(SCIE)",1.6,Q2,98/343
Nordic Social Work Research,2156-857X,2156-8588,SOCIAL WORK(ESCI),1.6,Q2,24/94
INTERNATIONAL POLITICAL SCIENCE REVIEW,0192-5121,1460-373X,POLITICAL SCIENCE(SSCI),1.6,Q2,134/322
Fudan Journal of the Humanities and Social Sciences,1674-0750,2198-2600,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1063-4266,1538-4799,"EDUCATION, SPECIAL(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q1,14/62
Australian Journal of Learning Difficulties,1940-4158,1940-4166,"EDUCATION, SPECIAL(ESCI)",1.6,Q1,14/62
COMPARATIVE EDUCATION REVIEW,0010-4086,1545-701X,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1.6,Q2,280/756
Asian Journal of International Law,2044-2513,2044-2521,LAW(ESCI),1.6,Q1,74/434
International Spectator,0393-2729,1751-9721,INTERNATIONAL RELATIONS(ESCI),1.6,Q2,64/169
Open House International-Sustainable & Smart Architecture and Urban Studies,0168-2601,2633-9838,ARCHITECTURE(AHCI);ENVIRONMENTAL STUDIES(SSCI);URBAN STUDIES(SSCI),1.6,Q3,47/76
BEHAVIORAL DISORDERS,0198-7429,2163-5307,"EDUCATION, SPECIAL(SSCI);PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI)",1.6,Q1,14/62
Societies,N/A,2075-4698,SOCIOLOGY(ESCI),1.6,Q2,91/219
SOUTH AFRICAN ARCHAEOLOGICAL BULLETIN,0038-1969,2224-4654,ARCHAEOLOGY(AHCI),1.6,N/A,N/A
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,0044-2275,1420-9039,"MATHEMATICS, APPLIED(SCIE)",1.6,Q2,98/343
EDUCATIONAL STUDIES,0305-5698,1465-3400,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1.6,Q2,280/756
Information and Inference-A Journal of the IMA,2049-8764,2049-8772,"MATHEMATICS, APPLIED(SCIE)",1.6,Q2,98/343
MICROPALEONTOLOGY,0026-2803,1937-2795,PALEONTOLOGY(SCIE),1.6,Q2,23/56
CRITIQUE OF ANTHROPOLOGY,0308-275X,1460-3721,ANTHROPOLOGY(SSCI),1.6,Q1,35/141
Journal of Applied Research in Higher Education,2050-7003,1758-1184,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
TIME & SOCIETY,0961-463X,1461-7463,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",1.6,Q2,83/271
Swiss Political Science Review,1424-7755,1662-6370,POLITICAL SCIENCE(SSCI),1.6,Q2,134/322
INTERNATIONAL REVIEW OF EDUCATION,0020-8566,1573-0638,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Nursing & Health Sciences,1441-0745,1442-2018,"NURSING(SCIE, SSCI)",1.6,Q2,93/192
TOPICS IN LANGUAGE DISORDERS,0271-8294,1550-3259,LINGUISTICS(SSCI);REHABILITATION(SSCI),1.6,Q2,80/303
Journal of Elections Public Opinion and Parties,1745-7289,1745-7297,POLITICAL SCIENCE(SSCI),1.6,Q2,134/322
JOURNAL OF MAMMALOGY,0022-2372,1545-1542,ZOOLOGY(SCIE),1.6,Q2,53/181
Children & Society,0951-0605,1099-0860,SOCIAL WORK(SSCI),1.6,Q2,24/94
International Review of Victimology,0269-7580,2047-9433,CRIMINOLOGY & PENOLOGY(ESCI),1.6,Q2,43/111
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,0090-6905,1573-6555,"LINGUISTICS(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",1.6,Q2,80/303
Education Inquiry,N/A,2000-4508,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
GEOBIOS,0016-6995,1777-5728,PALEONTOLOGY(SCIE),1.6,Q2,23/56
JOURNAL OF EARLY INTERVENTION,1053-8151,2154-3992,"EDUCATION, SPECIAL(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI);REHABILITATION(SSCI)",1.6,Q1,14/62
Journal of Research on Educational Effectiveness,1934-5747,1934-5739,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1.6,Q2,280/756
Studies in Graduate and Postdoctoral Education,2398-4686,2398-4694,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
AUSTRALIAN JOURNAL OF PSYCHOLOGY,0004-9530,1742-9536,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,103/221
Classroom Discourse,1946-3014,1946-3022,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Evaluation,1356-3890,1461-7153,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",1.6,Q2,83/271
JOURNAL OF ZOOLOGY,0952-8369,1469-7998,ZOOLOGY(SCIE),1.6,Q2,53/181
Qualitative Social Work,1473-3250,1741-3117,SOCIAL WORK(SSCI),1.6,Q2,24/94
SOCIOLOGICAL INQUIRY,0038-0245,1475-682X,SOCIOLOGY(SSCI),1.6,Q2,91/219
Augmentative and Alternative Communication,0743-4618,1477-3848,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY(SCIE);REHABILITATION(SSCI),1.6,Q2,75/173
Child & Family Social Work,1356-7500,1365-2206,FAMILY STUDIES(SSCI);SOCIAL WORK(SSCI),1.6,Q2,24/94
Emotions and Society,2631-6897,2631-6900,SOCIOLOGY(ESCI),1.6,Q2,91/219
European Journal of Social Work,1369-1457,1468-2664,SOCIAL WORK(SSCI),1.6,Q2,24/94
ZOOLOGY,0944-2006,1873-2720,ZOOLOGY(SCIE),1.6,Q2,53/181
BMJ Surgery Interventions & Health Technologies,N/A,2631-4940,SURGERY(ESCI),1.6,Q2,156/312
Nordic Journal of Digital Literacy,0809-6724,1891-943X,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
SIAM Journal on Applied Algebra and Geometry,2470-6566,2470-6566,"MATHEMATICS, APPLIED(SCIE)",1.6,Q2,98/343
Journal of Educational Administration and History,0022-0620,1478-7431,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,REHABILITATION(SCIE);SPORT SCIENCES(SCIE),1.6,Q2,75/173
CURRENT SOCIOLOGY,0011-3921,1461-7064,SOCIOLOGY(SSCI),1.6,Q2,91/219
ECOLOGICAL ENTOMOLOGY,0307-6946,1365-2311,ENTOMOLOGY(SCIE),1.6,Q2,41/110
Journal of Statistics and Data Science Education,N/A,2693-9169,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",1.6,Q2,42/86
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,0246-0203,N/A,STATISTICS & PROBABILITY(SCIE),1.6,Q2,51/167
Couple and Family Psychology-Research and Practice,2160-4096,2160-410X,FAMILY STUDIES(ESCI),1.6,Q2,28/66
INTERNATIONAL JOURNAL OF PSYCHOLOGY,0020-7594,1464-066X,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,103/221
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,0174-1578,1432-136X,PHYSIOLOGY(SCIE);ZOOLOGY(SCIE),1.6,Q2,53/181
Mammal Research,2199-2401,2199-241X,ZOOLOGY(SCIE),1.6,Q2,53/181
MARINE MICROPALEONTOLOGY,0377-8398,1872-6186,PALEONTOLOGY(SCIE),1.6,Q2,23/56
PROBABILITY THEORY AND RELATED FIELDS,0178-8051,1432-2064,STATISTICS & PROBABILITY(SCIE),1.6,Q2,51/167
Psychology of Popular Media,2689-6567,2689-6575,"COMMUNICATION(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1.6,Q2,93/227
Surveillance & Society,1477-7487,1477-7487,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
HEALTH CARE ANALYSIS,1065-3058,1573-3394,"ETHICS(SSCI);HEALTH POLICY & SERVICES(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",1.6,Q2,34/77
Advances in Neonatal Care,1536-0903,1536-0911,"NURSING(SCIE, SSCI)",1.6,Q2,93/192
Journal of Knee Surgery,1538-8506,1938-2480,ORTHOPEDICS(SCIE),1.6,Q3,78/139
JOURNAL OF PALEONTOLOGY,0022-3360,1937-2337,PALEONTOLOGY(SCIE),1.6,Q2,23/56
Comparative Population Studies,1869-8980,1869-8999,DEMOGRAPHY(ESCI),1.6,Q2,22/50
Current Transplantation Reports,N/A,2196-3029,SURGERY(ESCI);TRANSPLANTATION(ESCI),1.6,Q2,156/312
Journal of Multicultural Discourses,1744-7143,1747-6615,COMMUNICATION(ESCI);CULTURAL STUDIES(ESCI);ETHNIC STUDIES(ESCI);LANGUAGE & LINGUISTICS(ESCI);LINGUISTICS(ESCI),1.6,Q1,9/64
SYMBOLIC INTERACTION,0195-6086,1533-8665,SOCIOLOGY(SSCI),1.6,Q2,91/219
Tertiary Education and Management,1358-3883,1573-1936,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Cogent Social Sciences,2331-1886,2331-1886,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
Communication Research Reports,0882-4096,1746-4099,COMMUNICATION(ESCI),1.6,Q2,93/227
Journal of Medical Education and Curricular Development,2382-1205,2382-1205,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",1.6,Q2,42/86
NONLINEARITY,0951-7715,1361-6544,"MATHEMATICS, APPLIED(SCIE);PHYSICS, MATHEMATICAL(SCIE)",1.6,Q2,98/343
Policing-A Journal of Policy and Practice,1752-4512,1752-4520,CRIMINOLOGY & PENOLOGY(SSCI),1.6,Q2,43/111
Chemistry Teacher International,N/A,2569-3263,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",1.6,Q2,42/86
QUALITY ASSURANCE IN EDUCATION,0968-4883,1758-7662,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Asian Population Studies,1744-1730,1744-1749,DEMOGRAPHY(SSCI),1.6,Q2,22/50
Journal of Poverty and Social Justice,1759-8273,1759-8281,"SOCIAL ISSUES(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",1.6,Q2,83/271
PEDIATRIC SURGERY INTERNATIONAL,0179-0358,1437-9813,PEDIATRICS(SCIE);SURGERY(SCIE),1.6,Q2,91/191
SURGERY TODAY,0941-1291,1436-2813,SURGERY(SCIE),1.6,Q2,156/312
Annals of Surgical Treatment and Research,2288-6575,2288-6796,SURGERY(SCIE),1.6,Q2,156/312
Frontiers in Communication,N/A,2297-900X,COMMUNICATION(ESCI),1.6,Q2,93/227
International Journal of Performance Analysis in Sport,2474-8668,1474-8185,SPORT SCIENCES(SCIE),1.6,Q3,74/133
Journal of Family Studies,1322-9400,1839-3543,FAMILY STUDIES(SSCI),1.6,Q2,28/66
Journal of Survey Statistics and Methodology,2325-0984,2325-0992,"SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
Studies in Conflict & Terrorism,1057-610X,1521-0731,INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),1.6,Q2,64/169
Qualitative Report,1052-0147,2160-3715,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,1475-2670,ENTOMOLOGY(SCIE),1.6,Q2,41/110
Facial Plastic Surgery & Aesthetic Medicine,2689-3614,2689-3622,SURGERY(SCIE),1.6,Q2,156/312
Japan Journal of Nursing Science,1742-7932,1742-7924,"NURSING(SCIE, SSCI)",1.6,Q2,93/192
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,0964-1998,1467-985X,"SOCIAL SCIENCES, MATHEMATICAL METHODS(SSCI);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,EDUCATION & EDUCATIONAL RESEARCH(SSCI),1.6,Q2,280/756
ENVIRONMENTAL VALUES,0963-2719,1752-7015,ENVIRONMENTAL STUDIES(SSCI);ETHICS(SSCI),1.6,Q2,34/77
HOLZFORSCHUNG,0018-3830,1437-434X,"FORESTRY(SCIE);MATERIALS SCIENCE, PAPER & WOOD(SCIE)",1.6,Q2,45924
Journal of Adventure Education and Outdoor Learning,1472-9679,1754-0402,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Journal of Research on Leadership Education,1942-7751,1942-7751,EDUCATION & EDUCATIONAL RESEARCH(ESCI),1.6,Q2,280/756
Kotuitui-New Zealand Journal of Social Sciences Online,N/A,1177-083X,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
Politics Philosophy & Economics,1470-594X,1741-3060,ETHICS(SSCI);POLITICAL SCIENCE(SSCI),1.6,Q2,134/322
Journal of Veterinary Behavior-Clinical Applications and Research,1558-7878,1878-7517,BEHAVIORAL SCIENCES(SCIE);VETERINARY SCIENCES(SCIE),1.6,Q2,67/170
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,0002-9637,1476-1645,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TROPICAL MEDICINE(SCIE)",1.6,Q3,18/28
Fennia-International Journal of Geography,0015-0010,1798-5617,GEOGRAPHY(ESCI),1.6,Q2,75/173
JOURNAL OF CHILD NEUROLOGY,0883-0738,1708-8283,CLINICAL NEUROLOGY(SCIE);PEDIATRICS(SCIE),1.6,Q2,91/191
JOURNAL OF EQUINE VETERINARY SCIENCE,0737-0806,1542-7412,VETERINARY SCIENCES(SCIE),1.6,Q2,67/170
Journal of Hand Surgery-European Volume,1753-1934,2043-6289,ORTHOPEDICS(SCIE);SURGERY(SCIE),1.6,Q2,156/312
Archives Animal Breeding,0003-9438,2363-9822,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",1.6,Q2,40/86
EVALUATION & THE HEALTH PROFESSIONS,0163-2787,1552-3918,HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI),1.6,Q3,128/185
Foot and Ankle Clinics,1083-7515,1558-1934,ORTHOPEDICS(SCIE),1.6,Q3,78/139
Gland Surgery,2227-684X,2227-8575,SURGERY(SCIE),1.6,Q2,156/312
International Journal of Emergency Services,2047-0894,2047-0908,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",1.6,Q2,83/271
JOURNAL OF POULTRY SCIENCE,1346-7395,1349-0486,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",1.6,Q2,40/86
Minerva Dental and Oral Science,2724-6329,2724-6337,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",1.6,Q3,97/162
WILDLIFE RESEARCH,1035-3712,1448-5494,ECOLOGY(SCIE);ZOOLOGY(SCIE),1.6,Q2,53/181
ANNALS OF PLASTIC SURGERY,0148-7043,1536-3708,SURGERY(SCIE),1.6,Q2,156/312
Journal of Exercise Rehabilitation,2288-176X,2288-1778,REHABILITATION(ESCI),1.6,Q2,75/173
Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie,1434-5293,1615-6714,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",1.6,Q3,97/162
Journal of Race Ethnicity and Politics,N/A,2056-6085,ETHNIC STUDIES(ESCI);POLITICAL SCIENCE(ESCI);SOCIOLOGY(ESCI),1.6,Q2,15/39
Moravian Geographical Reports,1210-8812,2199-6202,GEOGRAPHY(SSCI),1.6,Q2,75/173
Research in Gerontological Nursing,1940-4921,1938-2464,"NURSING(SCIE, SSCI)",1.6,Q2,93/192
Revista Mediterranea Comunicacion-Journal of Communication,1989-872X,1989-872X,COMMUNICATION(ESCI),1.6,Q2,93/227
COUNSELOR EDUCATION AND SUPERVISION,0011-0035,1556-6978,"PSYCHOLOGY, APPLIED(ESCI)",1.6,Q3,70/115
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,1402-9251,1776-0852,"MATHEMATICS, APPLIED(SCIE);PHYSICS, MATHEMATICAL(SCIE)",1.6,Q2,98/343
STATISTICS AND COMPUTING,0960-3174,1573-1375,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);STATISTICS & PROBABILITY(SCIE)",1.6,Q2,51/167
Wine Economics and Policy,2213-3968,2212-9774,AGRICULTURAL ECONOMICS & POLICY(ESCI),1.6,Q2,20/43
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,1352-4658,1469-1833,"PSYCHOLOGY, CLINICAL(SSCI)",1.6,Q3,111/185
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,2219-0635,VETERINARY SCIENCES(SCIE),1.6,Q2,67/170
SIAM JOURNAL ON COMPUTING,0097-5397,1095-7111,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",1.6,Q2,98/343
Atencion Primaria,0212-6567,1578-1275,"MEDICINE, GENERAL & INTERNAL(SCIE);PRIMARY HEALTH CARE(SCIE)",1.6,Q2,124/332
CLINICS IN SPORTS MEDICINE,0278-5919,1556-228X,SPORT SCIENCES(SCIE),1.6,Q3,74/133
FETAL DIAGNOSIS AND THERAPY,1015-3837,1421-9964,OBSTETRICS & GYNECOLOGY(SCIE),1.6,Q3,86/140
Journal of Child Health Care,1367-4935,1741-2889,"NURSING(SCIE, SSCI);PEDIATRICS(SCIE)",1.6,Q2,91/191
Journal of Human Rights,1475-4835,1475-4843,INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),1.6,Q2,64/169
Small Wars and Insurgencies,0959-2318,1743-9558,INTERNATIONAL RELATIONS(ESCI),1.6,Q2,64/169
Agrekon,0303-1853,2078-0400,AGRICULTURAL ECONOMICS & POLICY(SCIE),1.6,Q2,20/43
Journal of Childrens Orthopaedics,1863-2521,1863-2548,ORTHOPEDICS(SCIE);PEDIATRICS(SCIE),1.6,Q2,91/191
Communication Today,1338-130X,1338-130X,COMMUNICATION(ESCI),1.6,Q2,93/227
Economic Systems Research,0953-5314,1469-5758,ECONOMICS(SSCI),1.6,Q2,276/617
Journal of Gynecology Obstetrics and Human Reproduction,2468-7847,1773-0430,OBSTETRICS & GYNECOLOGY(SCIE),1.6,Q3,86/140
Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,1476-4954,OBSTETRICS & GYNECOLOGY(SCIE),1.6,Q3,86/140
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,1569-9048,1878-1519,PHYSIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE),1.6,Q3,76/108
