期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Immunobiology,IMMUNOBIOLOGY,4697,2.788,0.00595,Q3,104,德国,双月刊
J Cloud Comput-Adv S,Journal of Cloud Computing-Advances Systems and Applications,395,2.788,0.00052,Q2,24,,
J Archaeol Sci,JOURNAL OF ARCHAEOLOGICAL SCIENCE,15883,2.787,0.01084,Q1/Q2,106,英国,月刊
Particuology,Particuology,3201,2.787,0.00398,Q2,102,中国,双月刊
Sci Eng Ethics,SCIENCE AND ENGINEERING ETHICS,2129,2.787,0.00368,Q1/Q2,86,荷兰,季刊
J Biomed Opt,JOURNAL OF BIOMEDICAL OPTICS,14713,2.785,0.0163,Q2,223,美国,双月刊
Min Proc Ext Met Rev,Mineral Processing and Extractive Metallurgy Review,1176,2.785,0.00093,Q1,39,美国,季刊
IEEE T Eng Manage,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2965,2.784,0.00173,Q2,54,美国,季刊
Parasitology,PARASITOLOGY,9554,2.783,0.00977,Q2,206,英国,月刊
Eur J Dermatol,EUROPEAN JOURNAL OF DERMATOLOGY,2939,2.782,0.00303,Q2,66,法国,双月刊
Organ Sci,ORGANIZATION SCIENCE,19644,2.782,0.01494,Q2,64,,
Eur J Sport Sci,European Journal of Sport Science,3477,2.781,0.00777,Q2,148,英国,季刊
G3-Genes Genom Genet,G3-Genes Genomes Genetics,6487,2.781,0.02418,Q3,345,美国,
J Diabetes Complicat,JOURNAL OF DIABETES AND ITS COMPLICATIONS,5072,2.781,0.01062,Q3,136,美国,双月刊
Int J Control,INTERNATIONAL JOURNAL OF CONTROL,8656,2.78,0.01007,Q2,238,英国,双月刊
J Sens Stud,JOURNAL OF SENSORY STUDIES,2006,2.78,0.00131,Q2,56,美国,季刊
J Immunotoxicol,Journal of Immunotoxicology,949,2.78,0.00139,Q2,15,美国,季刊
Nonlinear Anal-Model,Nonlinear Analysis-Modelling and Control,907,2.78,0.00134,Q1/Q2,56,立陶宛,
Psychol Addict Behav,PSYCHOLOGY OF ADDICTIVE BEHAVIORS,5298,2.78,0.00764,Q1/Q2,74,,
Asian J Control,ASIAN JOURNAL OF CONTROL,3168,2.779,0.00457,Q2,220,中国台湾,季刊
Appl Econ Perspect P,Applied Economic Perspectives and Policy,857,2.779,0.0018,Q1,36,美国,季刊
J Earthq Eng,JOURNAL OF EARTHQUAKE ENGINEERING,2767,2.779,0.00303,Q1/Q2,71,英国,双月刊
J Syst Evol,Journal of Systematics and Evolution,1471,2.779,0.00328,Q1,43,中国,
Opt Mater,OPTICAL MATERIALS,14530,2.779,0.01495,Q2,764,荷兰,月刊
Signal Process-Image,SIGNAL PROCESSING-IMAGE COMMUNICATION,2958,2.779,0.00489,Q2,195,荷兰,月刊
Bladder Cancer,Bladder Cancer,396,2.778,0.00139,Q2/Q3,25,,
Pulmonology,Pulmonology,162,2.778,0.00032,Q2,37,,
J Clin Virol,JOURNAL OF CLINICAL VIROLOGY,6856,2.777,0.01322,Q3,125,荷兰,月刊
Phys Rev A,PHYSICAL REVIEW A,116006,2.777,0.13585,Q2,2476,美国,
J Astronaut Sci,JOURNAL OF THE ASTRONAUTICAL SCIENCES,1080,2.775,0.00078,Q1,28,美国,季刊
Neurogenetics,NEUROGENETICS,1235,2.774,0.0022,Q2/Q3,24,德国,季刊
Infect Genet Evol,INFECTION GENETICS AND EVOLUTION,8774,2.773,0.01857,Q3,354,荷兰,季刊
Int J Food Sci Tech,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,11082,2.773,0.0082,Q2,340,英国,双月刊
Qual Life Res,QUALITY OF LIFE RESEARCH,14492,2.773,0.01867,Q1/Q2,293,荷兰,双月刊
Drug Metab Pharmacok,Drug Metabolism and Pharmacokinetics,1839,2.772,0.00172,Q2,50,日本,双月刊
Int J Sust Dev World,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1880,2.772,0.00139,Q2/Q3,64,美国,双月刊
Int J Chronic Obstr,International Journal of Chronic Obstructive Pulmonary Disease,5701,2.772,0.01377,Q2,273,新西兰,
J Am Pharm Assoc,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,2742,2.772,0.00301,Q2,151,美国,双月刊
Phytochem Analysis,PHYTOCHEMICAL ANALYSIS,3110,2.772,0.00185,Q1/Q2,71,英国,双月刊
J Surg Oncol,JOURNAL OF SURGICAL ONCOLOGY,11088,2.771,0.0161,Q2/Q3,312,美国,双月刊
Waste Manage Res,WASTE MANAGEMENT & RESEARCH,4867,2.771,0.00324,Q2/Q3,129,英国,双月刊
Acta Obstet Gyn Scan,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,8173,2.77,0.00955,Q2,169,丹麦,月刊
Colorectal Dis,Colorectal Disease,6699,2.769,0.00966,Q2/Q3,127,英国,双月刊
Futures,FUTURES,3998,2.769,0.00301,Q1/Q2,114,,
Sci Hortic-Amsterdam,SCIENTIA HORTICULTURAE,18461,2.769,0.01609,Q1,939,荷兰,月刊
Hernia,Hernia,3531,2.768,0.00463,Q2,137,法国,双月刊
Neurobiol Learn Mem,NEUROBIOLOGY OF LEARNING AND MEMORY,7356,2.768,0.01345,Q1/Q2/Q3,145,美国,双月刊
Des Autom Embed Syst,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,203,2.767,0.00015,Q1/Q2,9,荷兰,季刊
Ecohydrology,Ecohydrology,3030,2.767,0.00597,Q2,112,美国,季刊
J Res Pers,JOURNAL OF RESEARCH IN PERSONALITY,8101,2.767,0.00854,Q1,112,,
J Orthop Traumatol,Journal of Orthopaedics and Traumatology,942,2.767,0.00192,Q2,24,,
Nutr Res,NUTRITION RESEARCH,5971,2.767,0.00551,Q3,118,美国,月刊
Hum Resour Dev Rev,Human Resource Development Review,1154,2.765,0.00046,Q2,15,,
Econ J,ECONOMIC JOURNAL,13837,2.764,0.02336,Q1,106,,
Aeolian Res,Aeolian Research,1680,2.763,0.00349,Q2,42,英国,
Biol Psychol,BIOLOGICAL PSYCHOLOGY,10092,2.763,0.01189,Q1/Q2,147,荷兰,月刊
J Soil Sediment,JOURNAL OF SOILS AND SEDIMENTS,6272,2.763,0.0083,Q2,343,德国,季刊
Mol Imaging,Molecular Imaging,1115,2.763,0.00121,Q2,17,,
Policy Internet,Policy and Internet,527,2.763,0.00131,Q1,16,,
Plants-Basel,Plants-Basel,1351,2.762,0.0027,Q1,611,,
Syst Control Lett,SYSTEMS & CONTROL LETTERS,8003,2.762,0.01121,Q2,141,荷兰,月刊
Thermochim Acta,THERMOCHIMICA ACTA,17789,2.762,0.00831,Q2/Q3,256,荷兰,月刊
Behav Ecol,BEHAVIORAL ECOLOGY,9999,2.761,0.01248,Q1/Q2,188,美国,双月刊
Dermatology Ther,Dermatology and Therapy,692,2.761,0.00172,Q2,63,,
J Geriatr Oncol,Journal of Geriatric Oncology,1448,2.761,0.00439,Q3,134,荷兰,
JARO-J Assoc Res Oto,JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,2462,2.76,0.00327,Q1/Q3,37,美国,季刊
Acta Chim Sinica,ACTA CHIMICA SINICA,2266,2.759,0.00219,Q2,138,中国,双月刊
Brain Topogr,BRAIN TOPOGRAPHY,2633,2.759,0.00429,Q2/Q3,74,美国,季刊
Child Obes,Childhood Obesity,1383,2.756,0.00392,Q1,50,美国,
Eur J Phycol,EUROPEAN JOURNAL OF PHYCOLOGY,2171,2.756,0.00188,Q1/Q2,48,英国,季刊
Biol Control,BIOLOGICAL CONTROL,8316,2.754,0.00726,Q1/Q2,219,美国,月刊
Fund Clin Pharmacol,FUNDAMENTAL & CLINICAL PHARMACOLOGY,2488,2.754,0.00239,Q2,69,英国,双月刊
Pharmacol Rep,Pharmacological Reports,4919,2.754,0.00621,Q2,169,波兰,双月刊
Appl Ocean Res,APPLIED OCEAN RESEARCH,4381,2.753,0.00553,Q2,289,英国,双月刊
Chempluschem,ChemPlusChem,3135,2.753,0.00576,Q2,215,德国,
Int J Integr Care,International Journal of Integrated Care,1245,2.753,0.00175,Q1/Q2,34,荷兰,
Processes,Processes,1918,2.753,0.00191,Q2,950,,
Redox Rep,REDOX REPORT,1666,2.753,0.00127,Q3,9,,
Digest Dis Sci,DIGESTIVE DISEASES AND SCIENCES,16047,2.751,0.01951,Q3,386,UNITED STATES,月刊
Korean J Intern Med,KOREAN JOURNAL OF INTERNAL MEDICINE,2236,2.751,0.00376,Q2,132,韩国,
Pestic Biochem Phys,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,5931,2.751,0.00565,Q1/Q2/Q3,169,美国,月刊
Protoplasma,PROTOPLASMA,5012,2.751,0.00527,Q2/Q3,130,,
Appl Dev Sci,Applied Developmental Science,1380,2.75,0.001,Q1,27,,
China J,CHINA JOURNAL,638,2.75,0.00109,Q1,12,,
Int J Web Grid Serv,International Journal of Web and Grid Services,208,2.75,0.00031,Q1/Q2,19,英国,季刊
J Chem Technol Biot,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,12232,2.75,0.00903,Q2/Q3,394,英国,月刊
Melanoma Res,MELANOMA RESEARCH,2450,2.75,0.00374,Q2/Q3,96,美国,双月刊
Multivar Behav Res,MULTIVARIATE BEHAVIORAL RESEARCH,7111,2.75,0.00787,Q1/Q2,40,美国,季刊
Front Env Sci-Switz,Frontiers in Environmental Science,1852,2.749,0.00523,Q2,160,,
Physiol Genomics,PHYSIOLOGICAL GENOMICS,4535,2.749,0.0045,Q2/Q3,65,美国,不定期
Ticks Tick-Borne Dis,Ticks and Tick-Borne Diseases,3212,2.749,0.00742,Q2/Q3,180,德国,
Front Biosci-Landmrk,Frontiers in Bioscience-Landmark,8356,2.747,0.00436,Q3,87,美国,月刊
Pediatr Res,PEDIATRIC RESEARCH,13816,2.747,0.01342,Q1,221,美国,月刊
Front Energy Res,Frontiers in Energy Research,1111,2.746,0.00292,Q3,149,,
Annu Rev Resour Econ,Annual Review of Resource Economics,818,2.745,0.00268,Q1/Q2,24,美国,
Gender Soc,GENDER & SOCIETY,5426,2.742,0.00385,Q1,35,,
Neonatology,Neonatology,2856,2.742,0.00539,Q1,102,瑞士,双月刊
Mol Inform,Molecular Informatics,1428,2.741,0.00221,Q1/Q2,65,德国,月刊
P Roy Soc A-Math Phy,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,19218,2.741,0.01846,Q2,234,英国,月刊
EFSA J,EFSA Journal,10555,2.74,0.01112,Q2,365,,
Int Stat Rev,INTERNATIONAL STATISTICAL REVIEW,1807,2.74,0.00257,Q1,42,荷兰,三年刊
Infect Agents Cancer,Infectious Agents and Cancer,996,2.74,0.00203,Q3,44,英国,
PLoS One,PLoS One,688786,2.74,1.38933,Q2,11244,美国,不定期
Perioper Med-London,Perioperative Medicine,220,2.74,0.0008,Q2,16,,
Sex Transm Dis,SEXUALLY TRANSMITTED DISEASES,5541,2.74,0.00924,Q3,153,美国,月刊
Am J Reprod Immunol,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,5391,2.739,0.00735,Q3,99,美国,月刊
Cold Reg Sci Technol,COLD REGIONS SCIENCE AND TECHNOLOGY,5478,2.739,0.00463,Q1/Q2/Q3,192,荷兰,双月刊
DARU,DARU-Journal of Pharmaceutical Sciences,1326,2.739,0.00126,Q2,72,伊朗,季刊
IEEE T Consum Electr,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,3819,2.739,0.00151,Q2,57,美国,季刊
J Wind Eng Ind Aerod,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,10561,2.739,0.00766,Q1/Q2,236,荷兰,月刊
Dis Markers,DISEASE MARKERS,4094,2.738,0.00666,Q2/Q3,279,NETHERLANDS,双月刊
Clin Transl Oncol,Clinical & Translational Oncology,3101,2.737,0.00541,Q3,192,西班牙,月刊
Brit J Soc Psychol,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,4287,2.736,0.00306,Q1,49,,
China Econ Rev,CHINA ECONOMIC REVIEW,3603,2.736,0.00538,Q1,115,,
Hum Pathol,HUMAN PATHOLOGY,13000,2.735,0.01411,Q2,231,美国,月刊
J Drug Deliv Sci Tec,JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY,3248,2.734,0.00401,Q2,510,法国,双月刊
Terra Nova,TERRA NOVA,3944,2.734,0.00325,Q2,60,英国,双月刊
Brain Res,BRAIN RESEARCH,51658,2.733,0.02757,Q3,516,荷兰,周刊
Int J Control Autom,INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,3765,2.733,0.00505,Q2,294,韩国,双月刊
Inform Technol Dev,Information Technology for Development,782,2.733,0.00061,Q2,29,,
J Environ Eng Landsc,Journal of Environmental Engineering and Landscape Management,481,2.733,0.00056,Q2,23,立陶宛,季刊
Mini-Rev Med Chem,MINI-REVIEWS IN MEDICINAL CHEMISTRY,4605,2.733,0.00363,Q3,118,荷兰,季刊
J Therm Anal Calorim,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,20331,2.731,0.01508,Q2/Q3,1067,匈牙利,月刊
Microvasc Res,MICROVASCULAR RESEARCH,4028,2.73,0.00314,Q2,85,美国,双月刊
Insect Conserv Diver,Insect Conservation and Diversity,1314,2.729,0.0026,Q1,47,英国,季刊
J Orthop Res,JOURNAL OF ORTHOPAEDIC RESEARCH,14633,2.728,0.0156,Q2,279,英国,双月刊
Sediment Geol,SEDIMENTARY GEOLOGY,12140,2.728,0.00875,Q1,125,荷兰,月刊
Best Pract Res Cl Rh,BEST PRACTICE & RESEARCH IN CLINICAL RHEUMATOLOGY,3574,2.727,0.00506,Q3,40,英国,双月刊
Mar Environ Res,MARINE ENVIRONMENTAL RESEARCH,6627,2.727,0.00794,Q1/Q2/Q3,165,英国,月刊
Inform Software Tech,INFORMATION AND SOFTWARE TECHNOLOGY,4339,2.726,0.00535,Q2,135,荷兰,月刊
J Solid State Chem,JOURNAL OF SOLID STATE CHEMISTRY,23251,2.726,0.01032,Q2/Q3,628,美国,月刊
Metab Brain Dis,METABOLIC BRAIN DISEASE,3672,2.726,0.00624,Q3,163,美国,季刊
Expert Rev Resp Med,Expert Review of Respiratory Medicine,1645,2.725,0.00362,Q2,103,美国,
Pervasive Mob Comput,Pervasive and Mobile Computing,2274,2.725,0.00325,Q2,77,荷兰,
Manage Decis,MANAGEMENT DECISION,5393,2.723,0.00281,Q2,182,,
Photochem Photobiol,PHOTOCHEMISTRY AND PHOTOBIOLOGY,10221,2.721,0.00488,Q2/Q3,160,美国,月刊
Restor Ecol,RESTORATION ECOLOGY,5681,2.721,0.00548,Q2,162,美国,季刊
Tech Coloproctol,Techniques in Coloproctology,2312,2.721,0.00428,Q2/Q3,132,意大利,季刊
J Evolution Biol,JOURNAL OF EVOLUTIONARY BIOLOGY,10763,2.72,0.01303,Q2/Q3,112,英国,双月刊
Neurocrit Care,Neurocritical Care,4233,2.72,0.00694,Q2,147,美国,双月刊
J Clin Hypertens,Journal of Clinical Hypertension,3983,2.719,0.00694,Q2,188,美国,月刊
Clin Res Hepatol Gas,Clinics and Research in Hepatology and Gastroenterology,1638,2.718,0.00363,Q3,91,法国,
J Magn Magn Mater,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,38250,2.717,0.03052,Q2,1429,荷兰,双月刊
Scand J Immunol,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,4130,2.717,0.00372,Q3,81,挪威,月刊
Paediatr Respir Rev,Paediatric Respiratory Reviews,1714,2.716,0.0027,Q1/Q2,51,英国,季刊
Geosci Data J,Geoscience Data Journal,177,2.714,0.00081,Q2,19,英国,
IEEE T Learn Technol,IEEE Transactions on Learning Technologies,948,2.714,0.00116,Q1/Q2,39,美国,
J Geotech Geoenviron,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,13278,2.714,0.00992,Q2,169,美国,月刊
J Turbomach,JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,7657,2.713,0.00377,Q2,137,美国,季刊
Brit J Biomed Sci,BRITISH JOURNAL OF BIOMEDICAL SCIENCE,749,2.712,0.00059,Q2,27,英国,季刊
Indian J Dermatol Ve,Indian Journal of Dermatology Venereology & Leprology,2122,2.712,0.00211,Q2,59,印度,双月刊
SIAM J Numer Anal,SIAM JOURNAL ON NUMERICAL ANALYSIS,12416,2.712,0.01581,Q1,101,美国,双月刊
Biol Proced Online,BIOLOGICAL PROCEDURES ONLINE,831,2.711,0.0009,Q2,22,加拿大,不定期
IEEE T Comput,IEEE TRANSACTIONS ON COMPUTERS,9357,2.711,0.01287,Q2,139,美国,月刊
J Refract Surg,JOURNAL OF REFRACTIVE SURGERY,4268,2.711,0.00593,Q2,96,美国,月刊
Environ Health Prev,Environmental Health and Preventive Medicine,1591,2.71,0.00198,Q1/Q2,78,日本,
Anaerobe,ANAEROBE,4512,2.709,0.00665,Q3,127,英国,双月刊
Diabetol Metab Syndr,Diabetology & Metabolic Syndrome,2188,2.709,0.00391,Q3,113,巴西,
Int J Sustain Transp,International Journal of Sustainable Transportation,1405,2.709,0.00241,Q2/Q3,65,,
Aerobiologia,AEROBIOLOGIA,1565,2.708,0.00124,Q2,61,荷兰,季刊
Mar Struct,MARINE STRUCTURES,2545,2.708,0.00257,Q1/Q2,128,英国,季刊
Anaesth Crit Care Pa,Anaesthesia Critical Care & Pain Medicine,709,2.707,0.00195,Q2/Q3,53,法国,
Diabetes Vasc Dis Re,Diabetes & Vascular Disease Research,1520,2.707,0.00316,Q2/Q3,63,英国,双月刊
J Financ Quant Anal,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,6572,2.707,0.00951,Q1,81,,
J Glob Antimicrob Re,Journal of Global Antimicrobial Resistance,1500,2.706,0.00413,Q2/Q3,177,英国,
Mit Sloan Manage Rev,MIT SLOAN MANAGEMENT REVIEW,3307,2.706,0.00258,Q2,36,,
Ann Clin Microb Anti,Annals of Clinical Microbiology and Antimicrobials,1709,2.705,0.00298,Q3,42,英国,
Birth-Iss Perinat C,BIRTH-ISSUES IN PERINATAL CARE,2440,2.705,0.0025,Q1/Q2,71,美国,季刊
Front Mater,Frontiers in Materials,916,2.705,0.00215,Q2,329,,
J Phys-Condens Mat,JOURNAL OF PHYSICS-CONDENSED MATTER,46301,2.705,0.04419,Q2,743,英国,周刊
BMC Psychiatry,BMC Psychiatry,11446,2.704,0.02583,Q2,416,英国,不定期
Health Policy Plann,HEALTH POLICY AND PLANNING,5413,2.704,0.01057,Q1/Q2,99,英国,季刊
J Peace Res,JOURNAL OF PEACE RESEARCH,4891,2.704,0.00824,Q1,57,,
J Ment Health,Journal of Mental Health,2482,2.703,0.00293,Q2,82,,
Rev Mex Astron Astr,REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,966,2.703,0.00172,Q2,33,墨西哥,半年刊
Sociol Theor,SOCIOLOGICAL THEORY,2635,2.703,0.00198,Q1,18,,
Energies,Energies,29605,2.702,0.0386,Q3,4783,瑞士,季刊
Fisheries,FISHERIES,2558,2.701,0.00224,Q1,31,美国,月刊
Permafrost Periglac,PERMAFROST AND PERIGLACIAL PROCESSES,2145,2.701,0.00185,Q1/Q2,17,英国,季刊
J Clin Psychopharm,JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY,4841,2.7,0.00471,Q2,79,美国,双月刊
Nanosc Microsc Therm,Nanoscale and Microscale Thermophysical Engineering,551,2.7,0.00098,Q1/Q2/Q3,23,美国,季刊
Cerebrovasc Dis,CEREBROVASCULAR DISEASES,5699,2.698,0.00581,Q2,53,美国,双月刊
J Veg Sci,JOURNAL OF VEGETATION SCIENCE,8371,2.698,0.00686,Q1/Q2,111,瑞典,双月刊
Aging Clin Exp Res,AGING CLINICAL AND EXPERIMENTAL RESEARCH,3799,2.697,0.00569,Q3,213,意大利,双月刊
Deep-Sea Res Pt Ii,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,11188,2.697,0.01162,Q2,165,美国,双月刊
Bayesian Anal,Bayesian Analysis,2000,2.696,0.00661,Q1,47,美国,不定期
for Ecosyst,Forest Ecosystems,456,2.696,0.00115,Q1,51,,
Mol Pain,Molecular Pain,3609,2.696,0.00482,Q3,91,英国,不定期
Soc Sci Comput Rev,SOCIAL SCIENCE COMPUTER REVIEW,1871,2.696,0.00306,Q1/Q2,43,美国,季刊
Breast Cancer-Tokyo,Breast Cancer,1796,2.695,0.00329,Q2/Q3,94,日本,
Curr Issues Mol Biol,CURRENT ISSUES IN MOLECULAR BIOLOGY,735,2.695,0.00085,Q3,50,英国,季刊
Clin Genitourin Canc,Clinical Genitourinary Cancer,2502,2.695,0.0067,Q2/Q3,218,美国,季刊
Digestion,DIGESTION,2929,2.692,0.00262,Q3,74,SWITZERLAND,双月刊
J Guid Control Dynam,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,12270,2.692,0.00997,Q1/Q2,237,美国,双月刊
J Biomat Sci-Polym E,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,4645,2.69,0.00327,Q2/Q3,102,荷兰,月刊
Korean J Chem Eng,KOREAN JOURNAL OF CHEMICAL ENGINEERING,6992,2.69,0.00723,Q2,234,韩国,双月刊
Metacogn Learn,Metacognition and Learning,989,2.69,0.0017,Q1,23,,
Anim Behav,ANIMAL BEHAVIOUR,25784,2.689,0.01784,Q1/Q2,252,英国,月刊
Front Earth Sc-Switz,Frontiers in Earth Science,1837,2.689,0.00751,Q2,328,,
J Cataract Refr Surg,JOURNAL OF CATARACT AND REFRACTIVE SURGERY,13229,2.689,0.01089,Q2,243,美国,月刊
BMC Infect Dis,BMC INFECTIOUS DISEASES,17457,2.688,0.04565,Q3,1071,英国,不定期
Eur J Radiol,EUROPEAN JOURNAL OF RADIOLOGY,13075,2.687,0.01721,Q2,342,爱尔兰,月刊
Planta Med,PLANTA MEDICA,13250,2.687,0.00567,Q1/Q2/Q3,137,德国,月刊
Teach Teach Educ,TEACHING AND TEACHER EDUCATION,10163,2.686,0.00858,Q1,232,,
J Crit Care,JOURNAL OF CRITICAL CARE,6743,2.685,0.01519,Q3,241,美国,季刊
Acta Neurol Scand,ACTA NEUROLOGICA SCANDINAVICA,6983,2.684,0.00663,Q2,117,丹麦,月刊
Crit Perspect Accoun,Critical Perspectives on Accounting,2517,2.684,0.00168,Q1,34,,
Glob Spine J,Global Spine Journal,1410,2.683,0.00437,Q2,121,英国,季刊
J Posit Behav Interv,JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1258,2.683,0.00135,Q1/Q2,20,,
BMJ Support Palliat,BMJ Supportive & Palliative Care,1309,2.681,0.0034,Q2,105,,
Pulm Pharmacol Ther,PULMONARY PHARMACOLOGY & THERAPEUTICS,2592,2.681,0.0034,Q2,77,英国,双月刊
Int J Biometeorol,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,6418,2.68,0.00722,Q2,150,荷兰,季刊
IEEE Circ Syst Mag,IEEE Circuits and Systems Magazine,923,2.679,0.00084,Q2,12,美国,季刊
Asaio J,ASAIO JOURNAL,3356,2.678,0.00674,Q2,154,美国,双月刊
Int J Approx Reason,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,4190,2.678,0.00459,Q2,144,美国,双月刊
J Mol Neurosci,JOURNAL OF MOLECULAR NEUROSCIENCE,5770,2.678,0.00712,Q3,196,美国,月刊
Mater Today Commun,Materials Today Communications,1187,2.678,0.00231,Q2,267,,
Commun Pur Appl Math,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,9529,2.676,0.01358,Q1,54,美国,月刊
Geogr J,GEOGRAPHICAL JOURNAL,2416,2.676,0.00201,Q2,38,,
Pediatr Nephrol,PEDIATRIC NEPHROLOGY,9325,2.676,0.00986,Q1/Q2,189,美国,月刊
Int J Geriatr Psych,INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,9290,2.675,0.01033,Q1/Q2/Q3,206,英国,月刊
Synthesis-Stuttgart,SYNTHESIS-STUTTGART,17024,2.675,0.01516,Q2,431,德国,双月刊
Anton Leeuw Int J G,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,6317,2.674,0.00822,Q3,168,荷兰,双月刊
Am J Cardiovasc Drug,American Journal of Cardiovascular Drugs,1063,2.674,0.00157,Q2/Q3,51,新西兰,双月刊
Big Data Res,Big Data Research,462,2.673,0.00107,Q1/Q2,14,,
Front Hum Neurosci,Frontiers in Human Neuroscience,19680,2.673,0.04672,Q2/Q3,441,瑞士,不定期
J Pharm Anal,Journal of Pharmaceutical Analysis,1483,2.673,0.00236,Q3,53,,
ACM T Intel Syst Tec,ACM Transactions on Intelligent Systems and Technology,3727,2.672,0.00426,Q2,69,美国,
Biodata Min,BioData Mining,596,2.672,0.00166,Q1,19,英国,
Curr Vasc Pharmacol,Current Vascular Pharmacology,1786,2.672,0.0022,Q2/Q3,67,英国,季刊
IET Power Electron,IET Power Electronics,5682,2.672,0.01119,Q2,420,英国,双月刊
J Plant Growth Regul,JOURNAL OF PLANT GROWTH REGULATION,3684,2.672,0.00324,Q2,129,美国,季刊
Mach Learn,MACHINE LEARNING,18677,2.672,0.0048,Q2,80,美国,月刊
Int J Adhes Adhes,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,6233,2.671,0.00513,Q2,160,英国,双月刊
J Appl Mech-T Asme,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,14935,2.671,0.00722,Q2,143,美国,双月刊
Am J Hypertens,AMERICAN JOURNAL OF HYPERTENSION,8915,2.669,0.01079,Q3,136,美国,月刊
J Antibiot,JOURNAL OF ANTIBIOTICS,8728,2.668,0.00507,Q2/Q3,124,日本,月刊
Adv Nonlinear Anal,Advances in Nonlinear Analysis,448,2.667,0.0021,Q1,65,德国,
Clin Chest Med,CLINICS IN CHEST MEDICINE,2850,2.667,0.00477,Q3,60,美国,季刊
Food Anal Method,Food Analytical Methods,5533,2.667,0.00945,Q2,279,美国,季刊
Geoderma Reg,Geoderma Regional,523,2.667,0.00138,Q2,39,,
Health Care Manage R,HEALTH CARE MANAGEMENT REVIEW,1657,2.667,0.0016,Q1,33,,
IEEE T Cogn Dev Syst,IEEE Transactions on Cognitive and Developmental Systems,461,2.667,0.00124,Q2/Q3,48,,
J Rural Health,JOURNAL OF RURAL HEALTH,2005,2.667,0.0031,Q1/Q2,57,美国,季刊
J Integr Environ Sci,Journal of Integrative Environmental Sciences,275,2.667,0.00045,Q2,9,英国,
Leukos,Leukos,442,2.667,0.00066,Q2,20,美国,季刊
Stud Family Plann,STUDIES IN FAMILY PLANNING,1787,2.667,0.00211,Q1,15,,
Tex Law Rev,TEXAS LAW REVIEW,1867,2.667,0.00285,Q1,34,,
Drug Deliv Transl Re,Drug Delivery and Translational Research,1731,2.664,0.00273,Q3,91,德国,
Comput Electr Eng,COMPUTERS & ELECTRICAL ENGINEERING,4867,2.663,0.00757,Q2,238,英国,双月刊
J Prosthodont Res,Journal of Prosthodontic Research,1283,2.662,0.00216,Q1,69,日本,
J Creative Behav,JOURNAL OF CREATIVE BEHAVIOR,1350,2.661,0.00113,Q1,35,,
J Am Board Fam Med,Journal of the American Board of Family Medicine,3588,2.661,0.00619,Q2,100,美国,双月刊
Future Oncol,Future Oncology,4856,2.66,0.00914,Q3,336,英国,月刊
J Enterp Inf Manag,Journal of Enterprise Information Management,1410,2.659,0.00103,Q2,50,,
Poultry Sci,POULTRY SCIENCE,25309,2.659,0.01333,Q1,771,美国,月刊
