Journal,年份,ISSN/EISSN,Review,OA Journal Index（OAJ）,Open Access,Web of Science,标注,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
BOTANICA MARINA,2025,0006-8055/1437-4323,否,否,否,SCIE,,生物学,4 [765/1091],否, MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学,4 [76/118], PLANT SCIENCES 植物科学,4 [173/265],,,,,,,,
Botanica Serbica,2025,1821-2158/1821-2638,否,否,是,SCIE,,生物学,4 [831/1091],否, PLANT SCIENCES 植物科学,4 [193/265],,,,,,,,,,
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,2025,0024-4074/1095-8339,否,否,否,SCIE,,生物学,2 [172/1091],否, PLANT SCIENCES 植物科学,2 [37/265],,,,,,,,,,
BOTANICAL REVIEW,2025,0006-8101/1874-9372,是,否,否,SCIE,,生物学,2 [187/1091],否, PLANT SCIENCES 植物科学,2 [40/265],,,,,,,,,,
Botanical Sciences,2025,2007-4298/2007-4476,否,否,是,SCIE,,生物学,4 [768/1091],否, PLANT SCIENCES 植物科学,4 [174/265],,,,,,,,,,
Botanical Studies,2025,1999-3110/1999-3110,否,否,是,SCIE,,生物学,2 [175/1091],否, PLANT SCIENCES 植物科学,2 [38/265],,,,,,,,,,
Botany Letters,2025,2381-8107/2381-8115,否,否,否,SCIE,,生物学,4 [562/1091],否, PLANT SCIENCES 植物科学,3 [123/265],,,,,,,,,,
Botany,2025,1916-2790/1916-2804,否,否,否,SCIE,,生物学,4 [804/1091],否, PLANT SCIENCES 植物科学,4 [185/265],,,,,,,,,,
BOTHALIA,2025,0006-8241/2311-9284,否,否,是,SCIE,,生物学,4 [892/1091],否, PLANT SCIENCES 植物科学,4 [209/265],,,,,,,,,,
Bottom Line,2025,0888-045X/2054-1724,否,否,否,ESCI,,管理学,1 [20/1025],是, INFORMATION SCIENCE & LIBRARY SCIENCE 图书情报与档案管理,1 [3/160],,,,,,,,,,
BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE AND CULTURE,2025,0190-3659/1527-2141,否,否,否,SSCI;AHCI,,社会学,4 [1207/2039],否, CULTURAL STUDIES 文化研究,4 [54/59], LITERATURE 其他形式的文学,4 [126/199],,,,,,,,
Boundary Value Problems,2025,1687-2770/1687-2770,否,否,是,SCIE,,数学,4 [591/815],否, MATHEMATICS 数学,4 [373/487]," MATHEMATICS, APPLIED 应用数学",4 [248/330],,,,,,,,
BOUNDARY-LAYER METEOROLOGY,2025,0006-8314/1573-1472,否,否,否,SCIE,,地球科学,4 [275/575],否, METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学,4 [65/109],,,,,,,,,,
Boyhood Studies-An Interdisciplinary Journal,2025,2375-9240/2375-9267,否,否,否,ESCI,,社会学,4 [1311/2039],否," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [156/263],,,,,,,,,,
BRAC-Barcelona Research Art Creation,2025,2014-8992/2014-8992,否,否,是,ESCI,,艺术学,4 [368/484],否, ART 艺术,4 [110/144],,,,,,,,,,
Brachytherapy,2025,1538-4721/1873-1449,否,否,否,SCIE,,医学,4 [2520/5603],否, ONCOLOGY 肿瘤学,4 [177/318]," RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学",4 [92/206],,,,,,,,
Bradleya,2025,0265-086X/0265-086X,否,否,否,SCIE,,生物学,4 [775/1091],否, PLANT SCIENCES 植物科学,4 [178/265],,,,,,,,,,
BRAGANTIA,2025,0006-8705/1678-4499,否,否,是,SCIE,,农林科学,4 [594/904],否," AGRICULTURE, MULTIDISCIPLINARY 农业综合",4 [45/88],,,,,,,,,,
BRAIN & DEVELOPMENT,2025,0387-7604/1872-7131,否,否,否,SCIE,,医学,4 [3620/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [209/278], PEDIATRICS 儿科,4 [113/185],,,,,,,,
Brain and Behavior,2025,2162-3279/2162-3279,否,否,是,SCIE,,心理学,3 [304/657],否, BEHAVIORAL SCIENCES 行为科学,3 [26/55], NEUROSCIENCES 神经科学,4 [164/309],,,,,,,,
BRAIN AND COGNITION,2025,0278-2626/1090-2147,否,否,否,SSCI;SCIE,,心理学,3 [288/657],否, NEUROSCIENCES 神经科学,4 [155/309]," PSYCHOLOGY, EXPERIMENTAL 心理学：实验",4 [61/99],,,,,,,,
BRAIN AND LANGUAGE,2025,0093-934X/1090-2155,否,否,否,SSCI;SCIE,,心理学,3 [208/657],否, AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY 听力学与言语病理学,3 [10/35], LINGUISTICS 语言学,3 [102/294], NEUROSCIENCES 神经科学,3 [108/309]," PSYCHOLOGY, EXPERIMENTAL 心理学：实验",3 [42/99],,,,
Brain and Spine,2025,2772-5294/2772-5294,否,否,否,ESCI,,医学,4 [2648/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [158/278],,,,,,,,,,
Brain Behavior & Immunity-Health,2025,2666-3546/2666-3546,否,否,否,ESCI,,医学,3 [2018/5603],否, IMMUNOLOGY 免疫学,3 [88/179], NEUROSCIENCES 神经科学,3 [150/309], PSYCHIATRY 精神病学,3 [115/277],,,,,,
BRAIN BEHAVIOR AND EVOLUTION,2025,0006-8977/1421-9743,否,否,否,SCIE,,心理学,4 [330/657],否, ZOOLOGY 动物学,2 [39/179], BEHAVIORAL SCIENCES 行为科学,4 [30/55], NEUROSCIENCES 神经科学,4 [173/309],,,,,,
BRAIN BEHAVIOR AND IMMUNITY,2025,0889-1591/1090-2139,否,否,否,SCIE,,医学,1 [298/5603],是, NEUROSCIENCES 神经科学,1 [26/309], PSYCHIATRY 精神病学,1 [16/277], IMMUNOLOGY 免疫学,2 [19/179],,,,,,
Brain Circulation,2025,2394-8108/2455-4626,否,否,是,ESCI,,医学,4 [3402/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [195/278], NEUROSCIENCES 神经科学,4 [240/309],,,,,,,,
Brain Communications,2025,2632-1297/2632-1297,否,否,是,ESCI,,医学,2 [688/5603],否, CLINICAL NEUROLOGY 临床神经病学,2 [41/278], NEUROSCIENCES 神经科学,2 [60/309],,,,,,,,
Brain Connectivity,2025,2158-0014/2158-0022,否,否,否,SCIE,,医学,4 [2300/5603],否, NEUROSCIENCES 神经科学,4 [170/309],,,,,,,,,,
Brain Hemorrhages,2025,2589-238X/2589-238X,否,否,是,ESCI,,医学,4 [4377/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [241/278],,,,,,,,,,
Brain Imaging and Behavior,2025,1931-7557/1931-7565,否,否,否,SCIE,,医学,4 [2202/5603],否, NEUROIMAGING 神经成像,4 [9/16],,,,,,,,,,
Brain Impairment,2025,1443-9646/1839-5252,否,否,否,SCIE,,医学,4 [4115/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [227/278], NEUROSCIENCES 神经科学,4 [272/309], REHABILITATION 康复医学,4 [134/169],,,,,,
BRAIN INJURY,2025,0269-9052/1362-301X,否,否,否,SSCI;SCIE,,医学,4 [3348/5603],否, NEUROSCIENCES 神经科学,4 [236/309], REHABILITATION 康复医学,4 [99/169],,,,,,,,
BRAIN PATHOLOGY,2025,1015-6305/1750-3639,否,是,是,SCIE,,医学,2 [427/5603],否, PATHOLOGY 病理学,1 [7/88], CLINICAL NEUROLOGY 临床神经病学,2 [25/278], NEUROSCIENCES 神经科学,2 [39/309],,,,,,
BRAIN RESEARCH BULLETIN,2025,0361-9230/1873-2747,否,否,否,SCIE,,医学,3 [1720/5603],否, NEUROSCIENCES 神经科学,3 [131/309],,,,,,,,,,
BRAIN RESEARCH,2025,0006-8993/1872-6240,否,否,否,SCIE,,医学,4 [2353/5603],否, NEUROSCIENCES 神经科学,4 [174/309],,,,,,,,,,
Brain Sciences,2025,2076-3425/2076-3425,否,否,是,SCIE,,医学,3 [2026/5603],否, NEUROSCIENCES 神经科学,3 [151/309],,,,,,,,,,
Brain Stimulation,2025,1935-861X/1876-4754,否,是,是,SCIE,,医学,1 [201/5603],是, CLINICAL NEUROLOGY 临床神经病学,1 [12/278], NEUROSCIENCES 神经科学,1 [20/309],,,,,,,,
Brain Structure & Function,2025,1863-2653/1863-2661,否,否,否,SCIE,,医学,3 [1751/5603],否, ANATOMY & MORPHOLOGY 解剖学与形态学,1 [1/22], NEUROSCIENCES 神经科学,3 [135/309],,,,,,,,
BRAIN TOPOGRAPHY,2025,0896-0267/1573-6792,否,否,否,SCIE,,医学,3 [1912/5603],否, NEUROSCIENCES 神经科学,3 [144/309], CLINICAL NEUROLOGY 临床神经病学,4 [121/278],,,,,,,,
Brain Tumor Pathology,2025,1433-7398/1861-387X,否,否,否,SCIE,,医学,3 [1805/5603],否, CLINICAL NEUROLOGY 临床神经病学,3 [113/278], PATHOLOGY 病理学,3 [27/88], ONCOLOGY 肿瘤学,4 [139/318],,,,,,
BRAIN-Broad Research in Artificial Intelligence and Neuroscience,2025,2067-3957,否,否,是,ESCI,,医学,4 [4665/5603],否, NEUROSCIENCES 神经科学,4 [292/309],,,,,,,,,,
Brain-Computer Interfaces,2025,2326-263X/2326-2621,否,否,否,ESCI,,医学,4 [3658/5603],否," ENGINEERING, BIOMEDICAL 工程：生物医学",4 [91/120], NEUROSCIENCES 神经科学,4 [252/309],,,,,,,,
BRAIN,2025,0006-8950/1460-2156,否,否,否,SCIE,,医学,1 [97/5603],是, CLINICAL NEUROLOGY 临床神经病学,1 [5/278], NEUROSCIENCES 神经科学,1 [9/309],,,,,,,,
Bratislava Law Review,2025,2585-7088/2644-6359,否,否,是,ESCI,,社会学,4 [1571/2039],否, LAW 法学,4 [304/427],,,,,,,,,,
Bratislava Medical Journal-Bratislavske Lekarske Listy,2025,0006-9248/1336-0345,否,否,否,SCIE,,医学,4 [4426/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",4 [178/327],,,,,,,,,,
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,2025,1516-8913/1678-4324,否,否,是,SCIE,,生物学,4 [997/1091],否, BIOLOGY 生物学,4 [87/109],,,,,,,,,,
Brazilian Journal of Analytical Chemistry,2025,2179-3425/2179-3433,否,否,否,ESCI,,化学,4 [418/490],否," CHEMISTRY, ANALYTICAL 分析化学",4 [98/106],,,,,,,,,,
Brazilian Journal of Anesthesiology,2025,0104-0014/2352-2291,否,否,是,SCIE,,医学,4 [3005/5603],否, ANESTHESIOLOGY 麻醉学,4 [32/64],,,,,,,,,,
Brazilian Journal of Botany,2025,0100-8404/1806-9959,否,否,否,SCIE,,生物学,4 [811/1091],否, PLANT SCIENCES 植物科学,4 [188/265],,,,,,,,,,
Brazilian Journal of Cardiovascular Surgery,2025,0102-7638/1678-9741,否,否,是,SCIE,,医学,4 [3616/5603],否, CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统,4 [153/223], SURGERY 外科,4 [195/292],,,,,,,,
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,2025,0104-6632/1678-4383,否,否,是,SCIE,,工程技术,4 [1001/1437],否," ENGINEERING, CHEMICAL 工程：化工",4 [116/169],,,,,,,,,,
Brazilian Journal of Geology,2025,2317-4889/2317-4692,否,否,是,SCIE,,地球科学,4 [439/575],否," GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合",4 [203/258],,,,,,,,,,
Brazilian Journal of Hygiene and Animal Sanity,2025,1981-2965/1981-2965,否,否,否,ESCI,,农林科学,4 [894/904],否, VETERINARY SCIENCES 兽医学,4 [167/167],,,,,,,,,,
Brazilian Journal of Infectious Diseases,2025,1413-8670/1678-4391,否,否,是,SCIE,,医学,4 [2773/5603],否, INFECTIOUS DISEASES 传染病学,4 [74/134],,,,,,,,,,
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,2025,0100-879X/1414-431X,否,否,是,SCIE,,医学,4 [3724/5603],否, BIOLOGY 生物学,4 [63/109]," MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验",4 [133/188],,,,,,,,
BRAZILIAN JOURNAL OF MICROBIOLOGY,2025,1517-8382/1678-4405,否,否,是,SCIE,,生物学,4 [643/1091],否, MICROBIOLOGY 微生物学,4 [117/159],,,,,,,,,,
Brazilian Journal of Operations & Production Management,2025,2237-8960/2237-8960,否,否,是,ESCI,,管理学,4 [735/1025],否, OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,4 [89/106],,,,,,,,,,
Brazilian Journal of Otorhinolaryngology,2025,1808-8694/1808-8686,否,否,是,SCIE,,医学,4 [2395/5603],否, OTORHINOLARYNGOLOGY 耳鼻喉科学,4 [26/66],,,,,,,,,,
Brazilian Journal of Pharmaceutical Sciences,2025,1984-8250/2175-9790,否,否,是,SCIE,,医学,4 [5027/5603],否, PHARMACOLOGY & PHARMACY 药学,4 [318/350],,,,,,,,,,
Brazilian Journal of Physical Therapy,2025,1413-3555/1809-9246,否,否,否,SCIE,,医学,3 [1314/5603],否, REHABILITATION 康复医学,2 [25/169], ORTHOPEDICS 骨科,3 [31/136],,,,,,,,
BRAZILIAN JOURNAL OF PHYSICS,2025,0103-9733/1678-4448,否,否,否,SCIE,,物理与天体物理,4 [261/406],否," PHYSICS, MULTIDISCIPLINARY 物理：综合",4 [64/111],,,,,,,,,,
Brazilian Journal of Poultry Science,2025,1516-635X/1806-9061,否,否,是,SCIE,,农林科学,4 [604/904],否," AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学",4 [56/80],,,,,,,,,,
Brazilian Journal of Probability and Statistics,2025,0103-0752/0103-0752,否,否,否,SCIE,,数学,4 [627/815],否, STATISTICS & PROBABILITY 统计学与概率论,4 [127/166],,,,,,,,,,
Brazilian Journal of Psychiatry,2025,1516-4446/1809-452X,否,否,是,SSCI;SCIE,,医学,3 [1997/5603],否, PSYCHIATRY 精神病学,3 [113/277],,,,,,,,,,
Brazilian Journalism Research,2025,1808-4079/1981-9854,否,否,是,ESCI,,文学,4 [684/1193],否, COMMUNICATION 传播学,4 [153/223],,,,,,,,,,
Brazilian Neurosurgery-Arquivos Brasileiros de Neurocirurgia,2025,0103-5355/2359-5922,否,否,是,ESCI,,医学,4 [5452/5603],否, SURGERY 外科,4 [289/292],,,,,,,,,,
Brazilian Oral Research,2025,1807-3107/1807-3107,否,否,是,SCIE,,医学,4 [3223/5603],否," DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科",4 [97/157],,,,,,,,,,
BREAST CANCER RESEARCH AND TREATMENT,2025,0167-6806/1573-7217,否,否,否,SCIE,,医学,3 [1606/5603],否, ONCOLOGY 肿瘤学,3 [126/318],,,,,,,,,,
BREAST CANCER RESEARCH,2025,1465-5411/1465-542X,否,否,是,SCIE,,医学,2 [462/5603],否, ONCOLOGY 肿瘤学,2 [48/318],,,,,,,,,,
Breast Cancer-Basic and Clinical Research,2025,1178-2234/1178-2234,否,否,是,ESCI,,医学,4 [3266/5603],否, ONCOLOGY 肿瘤学,4 [216/318],,,,,,,,,,
Breast Cancer-Targets and Therapy,2025,1179-1314/1179-1314,否,否,是,SCIE,,医学,3 [1953/5603],否, ONCOLOGY 肿瘤学,4 [152/318],,,,,,,,,,
Breast Cancer,2025,1340-6868/1880-4233,否,否,否,SCIE,,医学,3 [1865/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,3 [43/135], ONCOLOGY 肿瘤学,4 [147/318],,,,,,,,
Breast Care,2025,1661-3791/1661-3805,否,否,否,SCIE,,医学,4 [3933/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,4 [97/135], ONCOLOGY 肿瘤学,4 [255/318],,,,,,,,
Breast Journal,2025,1075-122X/1524-4741,否,否,是,SCIE,,医学,4 [2896/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,4 [73/135], ONCOLOGY 肿瘤学,4 [200/318],,,,,,,,
BREAST,2025,0960-9776/1532-3080,否,是,是,SCIE,,医学,2 [569/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,2 [12/135], ONCOLOGY 肿瘤学,2 [54/318],,,,,,,,
Breastfeeding Medicine,2025,1556-8253/1556-8342,否,否,否,SCIE,,医学,4 [2535/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,4 [62/135], PEDIATRICS 儿科,4 [74/185],,,,,,,,
Breathe,2025,1810-6838/2073-4735,否,否,是,ESCI,,医学,4 [3847/5603],否, RESPIRATORY SYSTEM 呼吸系统,4 [75/101],,,,,,,,,,
BREEDING SCIENCE,2025,1344-7610/1347-3735,否,否,否,SCIE,,农林科学,4 [432/904],否, AGRONOMY 农艺学,4 [53/127], PLANT SCIENCES 植物科学,4 [157/265],,,,,,,,
Bresil-s,2025,2257-0543/2425-231X,否,否,是,ESCI,,社会学,4 [1329/2039],否, AREA STUDIES 地域研究,4 [132/174],,,,,,,,,,
Brewing Science,2025,1866-5195/1613-2041,否,否,否,ESCI,,农林科学,4 [813/904],否, FOOD SCIENCE & TECHNOLOGY 食品科技,4 [158/173],,,,,,,,,,
BRICS Law Journal,2025,2409-9058/2412-2343,否,否,是,ESCI,,社会学,4 [1572/2039],否, LAW 法学,4 [305/427],,,,,,,,,,
Bridge Structures,2025,1573-2487/1744-8999,否,否,否,ESCI,,工程技术,4 [1149/1437],否, CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术,4 [74/91],,,,,,,,,,
BRIEFINGS IN BIOINFORMATICS,2025,1467-5463/1477-4054,否,否,否,SCIE,,生物学,2 [214/1091],否, MATHEMATICAL & COMPUTATIONAL BIOLOGY 数学与计算生物学,1 [7/66], BIOCHEMICAL RESEARCH METHODS 生化研究方法,2 [10/85],,,,,,,,
Briefings in Functional Genomics,2025,2041-2649/2041-2657,是,否,否,SCIE,,生物学,4 [689/1091],否, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,4 [123/174], GENETICS & HEREDITY 遗传学,4 [137/190],,,,,,,,
Brills Annual of Afroasiatic Languages and Linguistics,2025,1876-6633/1877-6930,否,否,否,ESCI,,文学,4 [586/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [233/391],,,,,,,,,,
Britain and the World,2025,2043-8567/2043-8575,否,否,否,SSCI;AHCI,,历史学,4 [530/778],否, HISTORY 历史学,4 [324/523],,,,,,,,,,
Britannia,2025,0068-113X/1753-5352,否,否,否,AHCI,,历史学,4 [569/778],否, ARCHAEOLOGY 考古学,4 [124/164], HISTORY 历史学,4 [356/523],,,,,,,,
British Accounting Review,2025,0890-8389/1095-8347,否,否,否,SSCI,,管理学,2 [130/1025],否," BUSINESS, FINANCE 商业：财政与金融",2 [22/231],,,,,,,,,,
British and American Studies,2025,1224-3086/2457-7715,否,否,是,ESCI,,文学,4 [736/1193],否, LITERATURE 其他形式的文学,4 [130/199],,,,,,,,,,
British Catholic History,2025,2055-7973/2055-7981,否,否,否,AHCI,,哲学,3 [223/795],否, HISTORY 历史学,3 [112/523], RELIGION 宗教,3 [86/340],,,,,,,,
British Columbia Medical Journal,2025,0007-0556/0007-0556,否,否,否,ESCI,,医学,4 [4888/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",4 [219/327],,,,,,,,,,
BRITISH DENTAL JOURNAL,2025,0007-0610/1476-5373,否,否,否,SCIE,,医学,4 [2831/5603],否," DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科",4 [82/157],,,,,,,,,,
BRITISH EDUCATIONAL RESEARCH JOURNAL,2025,0141-1926/1469-3518,否,否,否,SSCI,,教育学,2 [62/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,2 [66/754],,,,,,,,,,
British Food Journal,2025,0007-070X/1758-4108,否,否,否,SCIE,,经济学,3 [224/765],否, FOOD SCIENCE & TECHNOLOGY 食品科技,3 [56/173], AGRICULTURAL ECONOMICS & POLICY 农业经济与政策,4 [14/39],,,,,,,,
British Journal for the History of Mathematics,2025,2637-5451/2637-5494,否,否,否,ESCI,,数学,4 [311/815],否, MATHEMATICS 数学,4 [195/487],,,,,,,,,,
British Journal for the History of Philosophy,2025,0960-8788/1469-3526,否,否,否,AHCI,,哲学,1 [26/795],是, PHILOSOPHY 哲学,1 [12/328],,,,,,,,,,
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,2025,0007-0874/1474-001X,否,否,否,SSCI;AHCI,,哲学,1 [33/795],是, HISTORY & PHILOSOPHY OF SCIENCE 科学史与科学哲学,1 [8/105],,,,,,,,,,
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,2025,0007-0882/1464-3537,否,否,否,SSCI;AHCISCIE,,哲学,1 [15/795],是, HISTORY & PHILOSOPHY OF SCIENCE 科学史与科学哲学,1 [3/105],,,,,,,,,,
BRITISH JOURNAL OF AESTHETICS,2025,0007-0904/1468-2842,否,否,否,AHCI,,艺术学,1 [12/484],是, ART 艺术,1 [7/144], PHILOSOPHY 哲学,2 [34/328],,,,,,,,
British Journal of American Legal Studies,2025,2049-4092/2719-5864,否,否,是,ESCI,,社会学,4 [1040/2039],否, LAW 法学,4 [186/427],,,,,,,,,,
BRITISH JOURNAL OF ANAESTHESIA,2025,0007-0912/1471-6771,否,否,否,SCIE,,医学,1 [225/5603],是, ANESTHESIOLOGY 麻醉学,1 [2/64],,,,,,,,,,
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,2025,0967-4845/2474-0896,否,否,否,SCIE,,医学,4 [2320/5603],否, MEDICAL LABORATORY TECHNOLOGY 医学实验技术,3 [12/31],,,,,,,,,,
British Journal of Canadian Studies,2025,0269-9222/1757-8078,否,否,否,AHCI,,历史学,4 [632/778],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",4 [324/406],,,,,,,,,,
BRITISH JOURNAL OF CANCER,2025,0007-0920/1532-1827,否,否,否,SCIE,,医学,2 [375/5603],是, ONCOLOGY 肿瘤学,2 [40/318],,,,,,,,,,
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,2025,0306-5251/1365-2125,否,否,否,SCIE,,医学,3 [1450/5603],否, PHARMACOLOGY & PHARMACY 药学,3 [92/350],,,,,,,,,,
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,2025,0144-6657/2044-8260,否,否,否,SSCI,,心理学,3 [198/657],否," PSYCHOLOGY, CLINICAL 心理学：临床",3 [57/179],,,,,,,,,,
BRITISH JOURNAL OF CRIMINOLOGY,2025,0007-0955/1464-3529,否,否,否,SSCI,,社会学,2 [120/2039],是, CRIMINOLOGY & PENOLOGY 犯罪学与刑罚学,1 [8/111],,,,,,,,,,
BRITISH JOURNAL OF DERMATOLOGY,2025,0007-0963/1365-2133,否,否,否,SCIE,,医学,1 [197/5603],是, DERMATOLOGY 皮肤病学,1 [2/94],,,,,,,,,,
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,2025,0261-510X/2044-835X,否,否,否,SSCI,,心理学,3 [272/657],否," PSYCHOLOGY, DEVELOPMENTAL 心理学：发育",4 [49/91],,,,,,,,,,
British Journal of Diabetes,2025,2397-6233/2397-6233,否,否,否,ESCI,,医学,4 [5219/5603],否, ENDOCRINOLOGY & METABOLISM 内分泌学与代谢,4 [173/184],,,,,,,,,,
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,2025,0007-0998/2044-8279,否,否,否,SSCI,,教育学,2 [76/840],否," PSYCHOLOGY, EDUCATIONAL 心理学：教育",2 [16/74],,,,,,,,,,
BRITISH JOURNAL OF EDUCATIONAL STUDIES,2025,0007-1005/1467-8527,否,否,否,SSCI,,教育学,3 [197/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [191/754],,,,,,,,,,
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,2025,0007-1013/1467-8535,否,否,否,SSCI,,教育学,1 [11/840],是, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,1 [9/754],,,,,,,,,,
BRITISH JOURNAL OF GENERAL PRACTICE,2025,0960-1643/1478-5242,否,否,否,SCIE,,医学,2 [834/5603],否, PRIMARY HEALTH CARE 初级卫生保健,1 [1/28]," MEDICINE, GENERAL & INTERNAL 医学：内科",2 [32/327],,,,,,,,
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,2025,0306-9885/1469-3534,否,否,否,SSCI,,心理学,4 [528/657],否," PSYCHOLOGY, APPLIED 心理学：应用",4 [97/112],,,,,,,,,,
BRITISH JOURNAL OF HAEMATOLOGY,2025,0007-1048/1365-2141,否,否,否,SCIE,,医学,2 [579/5603],否, HEMATOLOGY 血液学,2 [18/96],,,,,,,,,,
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,2025,1359-107X/2044-8287,否,否,否,SSCI,,心理学,2 [141/657],否," PSYCHOLOGY, CLINICAL 心理学：临床",2 [37/179],,,,,,,,,,
BRITISH JOURNAL OF HOSPITAL MEDICINE,2025,1750-8460/1759-7390,否,否,否,SCIE,,医学,4 [4840/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",4 [215/327],,,,,,,,,,
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,2025,0007-1080/1467-8543,否,否,否,SSCI,,管理学,4 [441/1025],否, INDUSTRIAL RELATIONS & LABOR 劳动关系学,4 [23/50],,,,,,,,,,
British Journal of Learning Disabilities,2025,1354-4187/1468-3156,否,否,否,SSCI,,医学,4 [3314/5603],否," EDUCATION, SPECIAL 特殊教育学",4 [44/62],,,,,,,,,,
BRITISH JOURNAL OF MANAGEMENT,2025,1045-3172/1467-8551,否,否,否,SSCI,,管理学,2 [128/1025],否, BUSINESS 商业：管理,3 [53/302], MANAGEMENT 管理学,3 [86/404],,,,,,,,
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,2025,0007-1102/2044-8317,否,否,否,SSCI;SCIE,,心理学,4 [372/657],否, STATISTICS & PROBABILITY 统计学与概率论,3 [69/166]," MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用",4 [60/136]," PSYCHOLOGY, EXPERIMENTAL 心理学：实验",4 [75/99]," PSYCHOLOGY, MATHEMATICAL 心理学：数学",4 [9/13],,,,
British Journal of Middle Eastern Studies,2025,1353-0194/1469-3542,否,否,否,SSCI;AHCI,,社会学,4 [910/2039],否, HISTORY 历史学,3 [154/523], AREA STUDIES 地域研究,4 [79/174],,,,,,,,
British Journal of Music Education,2025,0265-0517/1469-2104,否,否,否,SSCI;AHCI,,教育学,4 [374/840],否, MUSIC 音乐,3 [28/110], EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [351/754],,,,,,,,
British Journal of Music Therapy,2025,1359-4575/2059-9773,否,否,否,ESCI,,医学,4 [4085/5603],否, REHABILITATION 康复医学,4 [132/169],,,,,,,,,,
BRITISH JOURNAL OF NEUROSURGERY,2025,0268-8697/1360-046X,否,否,否,SCIE,,医学,4 [4095/5603],否, CLINICAL NEUROLOGY 临床神经病学,4 [226/278], SURGERY 外科,4 [222/292],,,,,,,,
BRITISH JOURNAL OF NUTRITION,2025,0007-1145/1475-2662,否,否,否,SCIE,,医学,3 [2045/5603],否, NUTRITION & DIETETICS 营养学,3 [51/113],,,,,,,,,,
British Journal of Occupational Therapy,2025,0308-0226/1477-6006,否,否,否,SSCI;SCIE,,医学,4 [3535/5603],否, REHABILITATION 康复医学,4 [110/169],,,,,,,,,,
BRITISH JOURNAL OF OPHTHALMOLOGY,2025,0007-1161/1468-2079,否,否,否,SCIE,,医学,2 [729/5603],否, OPHTHALMOLOGY 眼科学,2 [12/95],,,,,,,,,,
