期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
Indoor Built Environ,Indoor and Built Environment,Q2/Q3/Q4,98,英国,双月刊
Food Environ Virol,Food and Environmental Virology,Q2/Q3,47,美国,
J Policy Pract Intel,Journal of Policy and Practice in Intellectual Disabilities,Q4,28,,
J Imaging Sci Techn,Journal of Imaging Science and Technology,Q4,60,美国,双月刊
Wires Clim Change,Wiley Interdisciplinary Reviews-Climate Change,Q1,54,英国,
Bird Conserv Int,Bird Conservation International,Q1/Q2,45,英国,季刊
Clin Spine Surg,Clinical Spine Surgery,Q3/Q4,153,美国,月刊
Asia Pac J Tour Res,Asia Pacific Journal of Tourism Research,Q3,81,,
J Hosp Tour Technol,Journal of Hospitality and Tourism Technology,Q2,43,,
Geografie-Prague,Geografie,Q4,20,,
Popul Environ,Population and Environment,Q1/Q2,21,,
J Proteome Res,Journal of Proteome Research,Q1,397,美国,双月刊
Surf Innov,Surface Innovations,Q2/Q3,33,英国,
J Am Coll Surgeons,Journal of the American College of Surgeons,Q1,153,美国,月刊
Sleep Med Rev,Sleep Medicine Reviews,Q1,66,英国,双月刊
Rechtsmedizin,Rechtsmedizin,Q4,55,德国,双月刊
Isr J Psychiatr Rel,Israel Journal of Psychiatry and Related Sciences,Q4,16,,
Berl Munch Tierarztl,Berliner Und Munchener Tierarztliche Wochenschrift,Q4,63,德国,双月刊
Int J Nav Arch Ocean,International Journal of Naval Architecture and Ocean Engineering,Q1,80,韩国,
Cult Psychol,Culture & Psychology,Q2,27,,
Waste Manage Res,Waste Management & Research,Q2/Q3,129,英国,双月刊
iScience,iScience,Q1,508,美国,月刊
Politix,Politix,Q4,22,,
J Anim Plant Sci,Journal of Animal and Plant Sciences,Q4,212,巴基斯坦,季刊
Cancer Prev Res,Cancer Prevention Research,Q2,85,美国,月刊
Semin Radiat Oncol,Seminars in Radiation Oncology,Q1/Q2,39,美国,季刊
Behav Brain Sci,Behavioral and Brain Sciences,Q1,18,英国,双月刊
Geosci Model Dev,Geoscientific Model Development,Q1,234,德国,
Development,Development,Q1,377,英国,双月刊
Discrete Event Dyn S,Discrete Event Dynamic Systems-Theory and Applications,Q3/Q4,22,UNITED STATES,季刊
J Womens Hist,Journal of Womens History,Q4,24,,
Nanoscale,Nanoscale,Q1,2343,,
Aquat Bot,Aquatic Botany,Q2,53,荷兰,双月刊
J Couns Dev,Journal of Counseling and Development,Q3,40,,
Plast Surg-Chir Plas,Plastic Surgery,Q4,42,,
Eval Health Prof,Evaluation & the Health Professions,Q3/Q4,22,美国,季刊
Evol Dev,Evolution & Development,Q3,25,美国,双月刊
Acta Psychol,Acta Psychologica,Q4,166,,
At-Autom,At-Automatisierungstechnik,Q4,77,德国,月刊
Ecol Evol,Ecology and Evolution,Q2/Q3,1063,美国,
Microsc Microanal,Microscopy and Microanalysis,Q1/Q2,158,美国,双月刊
Aust Syst Bot,Australian Systematic Botany,Q3/Q4,29,澳大利亚,双月刊
Otolaryng Clin N Am,Otolaryngologic Clinics of North America,Q2,93,美国,季刊
J Clin Psychol Med S,Journal of Clinical Psychology in Medical Settings,Q3,55,,
Int Rev Sport Exer P,International Review of Sport and Exercise Psychology,Q1,12,,
Acad Manag Learn Edu,Academy of Management Learning & Education,Q1,26,,
J Sci Med Sport,Journal of Science and Medicine in Sport,Q1,236,澳大利亚,双月刊
J Basic Microb,Journal of Basic Microbiology,Q3,105,德国,双月刊
Int Clin Psychopharm,International Clinical Psychopharmacology,Q3/Q4,43,美国,双月刊
Chin Opt Lett,Chinese Optics Letters,Q3,227,中国,月刊
Expert Opin Biol Th,Expert Opinion on Biological Therapy,Q2,104,英国,双月刊
Cell Death Dis,Cell Death & Disease,Q1,884,英国,
Media Psychol,Media Psychology,Q1/Q2,37,,
J Vasc Surg-Venous L,Journal of Vascular Surgery-Venous and Lymphatic Disorders,Q1/Q2,109,英国,
Soc Sci Quart,Social Science Quarterly,Q3,162,,
Balt J Manag,Baltic Journal of Management,Q3,38,,
J Comp Pathol,Journal of Comparative Pathology,Q3/Q4,92,英国,双月刊
J Gastroenterol,Journal of Gastroenterology,Q1,106,日本,月刊
Pharmacogenomics J,Pharmacogenomics Journal,Q2,57,,
Symbiosis,Symbiosis,Q4,75,荷兰,双月刊
Dissolut Technol,Dissolution Technologies,Q4,21,UNITED STATES,季刊
Sci Rep-UK,Scientific Reports,Q1,19873,英国,持续更新
Attach Hum Dev,Attachment & Human Development,Q2,36,,
Financ Anal J,Financial Analysts Journal,Q2,27,,
Nanomed-Nanotechnol,Nanomedicine-Nanotechnology Biology and Medicine,Q1/Q2,220,荷兰,季刊
Kagaku Kogaku Ronbun,Kagaku Kogaku Ronbunshu,Q4,37,日本,双月刊
IEEE Photonic Tech L,IEEE Photonics Technology Letters,Q2,411,美国,月刊
Clin Exp Hypertens,Clinical and Experimental Hypertension,Q4,99,美国,双月刊
J Appl Oral Sci,Journal of Applied Oral Science,Q2,91,巴西,双月刊
Signa Vitae,Signa Vitae,Q4,25,克罗地亚,半年刊
J Legal Stud,Journal of Legal Studies,Q4,14,,
Solid State Nucl Mag,Solid State Nuclear Magnetic Resonance,Q3,54,美国,季刊
Circ Res,Circulation Research,Q1,190,美国,双月刊
Economet Theor,Econometric Theory,Q2/Q3,29,美国,
Heroin Addict Rel Cl,Heroin Addiction and Related Clinical Problems,Q4,33,,
Scot Hist Rev,Scottish Historical Review,Q3,16,,
J Behav Exp Econ,Journal of Behavioral and Experimental Economics,Q3,98,,
Eur J Phycol,European Journal of Phycology,Q1/Q2,48,英国,季刊
Ital J Anim Sci,Italian Journal of Animal Science,Q1,165,意大利,季刊
Group Dyn-Theor Res,Group Dynamics-Theory Research and Practice,Q4,13,,
Aquacult Env Interac,Aquaculture Environment Interactions,Q2,52,德国,
J Res Med Sci,Journal of Research in Medical Sciences,Q2,98,伊朗,双月刊
Int J Market Res,International Journal of Market Research,Q4,47,,
Int J Gen Syst,International Journal of General Systems,Q2,41,英国,季刊
Inorg Chem Front,Inorganic Chemistry Frontiers,Q1,385,英国,
Mag Concrete Res,Magazine of Concrete Research,Q2/Q3,100,英国,双月刊
Int J Perf Anal Spor,International Journal of Performance Analysis in Sport,Q3,81,威尔士,
J Bus Econ Stat,Journal of Business & Economic Statistics,Q1,58,美国,季刊
Cold War Hist,Cold War History,Q2,29,,
Clin Pediatr,Clinical Pediatrics,Q4,185,美国,月刊
Allergy Asthma Proc,Allergy and Asthma Proceedings,Q3,82,美国,双月刊
Fertil Steril,Fertility and Sterility,Q1,263,美国,月刊
J Safety Res,Journal of Safety Research,Q1/Q2,107,,
J Raman Spectrosc,Journal of Raman Spectroscopy,Q2,177,荷兰,月刊
Quatern Int,Quaternary International,Q3,516,英国,月刊
Lymphology,Lymphology,Q4,20,德国,季刊
Biometals,Biometals,Q3,70,荷兰,双月刊
Third World Q,Third World Quarterly,Q2,113,,
Theor Soc,Theory and Society,Q2,34,,
Kidney Int Suppl,Kidney International Supplements,Q1,1,美国,
Youth Justice,Youth Justice-An International Journal,Q3,13,,
Dtsch Arztebl Int,Deutsches Arzteblatt International,Q1,97,德国,周刊
J Anthropol Sci,Journal of Anthropological Sciences,Q1,10,,
Aktuel Rheumatol,Aktuelle Rheumatologie,Q4,31,德国,双月刊
Rhizosphere-Neth,Rhizosphere,Q2/Q3,43,,
Onderstepoort J Vet,Onderstepoort Journal of Veterinary Research,Q3,35,南非,季刊
Qual Inq,Qualitative Inquiry,Q1,128,,
Supramol Chem,Supramolecular Chemistry,Q3,80,英国,双月刊
Evol Bioinform,Evolutionary Bioinformatics,Q4,48,新西兰,季刊
Polym Int,Polymer International,Q2,208,英国,月刊
Scientist,Scientist,Q3,35,美国,双月刊
J Pediatr Surg,Journal of Pediatric Surgery,Q2,464,美国,月刊
Wirel Netw,Wireless Networks,Q2,343,荷兰,双月刊
Adm Policy Ment Hlth,Administration and Policy in Mental Health and Mental Health Services Research,Q2,72,,
Crit Rev Eukar Gene,Critical Reviews in Eukaryotic Gene Expression,Q3,52,美国,三年刊
AIDS Care,AIDS Care-Psychological and Socio-Medical Aspects of AIDS/HIV,Q2/Q3,216,,
Law Soc Rev,Law & Society Review,Q2,39,,
J Anal Appl Pyrol,Journal of Analytical and Applied Pyrolysis,Q1/Q2,217,荷兰,双月刊
P Indian As-Math Sci,Proceedings of the Indian Academy of Sciences-Mathematical Sciences,Q4,85,印度,季刊
Harm Reduct J,Harm Reduction Journal,Q1,76,,
Brit J Nutr,British Journal of Nutrition,Q2,278,英国,双月刊
Phys Geogr,Physical Geography,Q3/Q4,28,美国,双月刊
Discrete Math,Discrete Mathematics,Q3,352,NETHERLANDS,双月刊
Phys Teach,Physics Teacher,Q4,140,美国,
Crit Inquiry,Critical Inquiry,Q2,37,,
Biodivers Conserv,Biodiversity and Conservation,Q1/Q2,206,荷兰,月刊
Inflammopharmacology,Inflammopharmacology,Q2/Q3,116,荷兰,
J Res Technol Educ,Journal of Research on Technology in Education,Q3,23,,
Sensor Rev,Sensor Review,Q4,89,英国,季刊
Vet Clin N Am-Small,Veterinary Clinics of North America-Small Animal Practice,Q2,76,美国,双月刊
Turk Gogus Kalp Dama,Turk Gogus Kalp Damar Cerrahisi Dergisi-Turkish Journal of Thoracic and Cardiovascular Surgery,Q4,92,土耳其,季刊
Curr Rheumatol Rep,Current Rheumatology Reports,Q2,70,美国,
Gender Educ,Gender and Education,Q3,55,,
J Microencapsul,Journal of Microencapsulation,Q2/Q3,61,英国,双月刊
Ecohydrology,Ecohydrology,Q2,112,美国,季刊
Psychoanal Hist,Psychoanalysis and History,Q4,16,,
Chinese Ann Math B,Chinese Annals of Mathematics Series B,Q3,54,中国,双月刊
Nat Biomed Eng,Nature Biomedical Engineering,Q1,72,,
Process Biochem,Process Biochemistry,Q2/Q3,300,英国,月刊
J Labor Econ,Journal of Labor Economics,Q1,48,,
World J Gastro Surg,World Journal of Gastrointestinal Surgery,Q3/Q4,41,,
Acsms Health Fit J,Acsms Health & Fitness Journal,Q4,40,美国,双月刊
Geophys Astro Fluid,Geophysical and Astrophysical Fluid Dynamics,Q4,29,英国,双月刊
Ann Indian Acad Neur,Annals of Indian Academy of Neurology,Q4,86,印度,季刊
J Hymenopt Res,Journal of Hymenoptera Research,Q2,51,加拿大,半年刊
Earth-Sci Rev,Earth-Science Reviews,Q1,226,荷兰,月刊
Rev Epidemiol Sante,Revue D Epidemiologie et de Sante Publique,Q4,57,法国,双月刊
Acta Bot Croat,Acta Botanica Croatica,Q3,23,克罗地亚,半年刊
J Geom Anal,Journal of Geometric Analysis,Q2,134,美国,季刊
J Biol Rhythm,Journal of Biological Rhythms,Q1/Q2,51,英国,双月刊
Elements,Elements,Q1,39,加拿大,双月刊
J Dtsch Dermatol Ges,Journal Der Deutschen Dermatologischen Gesellschaft,Q1,65,德国,月刊
Can J Behav Sci,Canadian Journal of Behavioural Science-Revue Canadienne Des Sciences Du Comportement,Q3,30,,
J Wildlife Dis,Journal of Wildlife Diseases,Q2,141,美国,季刊
Endoscopy,Endoscopy,Q1,106,德国,月刊
Afr J Range for Sci,African Journal of Range & Forage Science,Q3/Q4,18,南非,三年刊
Pharm Biol,Pharmaceutical Biology,Q1/Q2,98,荷兰,双月刊
Int J Bifurcat Chaos,International Journal of Bifurcation and Chaos,Q2,249,新加坡,月刊
J Multicult Couns D,Journal of Multicultural Counseling and Development,Q3,18,,
J Mod Optic,Journal of Modern Optics,Q3,221,英国,双月刊
Comment Inorg Chem,Comments on Inorganic Chemistry,Q1,9,英国,三年刊
Fluct Noise Lett,Fluctuation and Noise Letters,Q3/Q4,43,新加坡,季刊
J Geom Mech,Journal of Geometric Mechanics,Q4,31,美国,
Lancet Public Health,Lancet Public Health,Q1,45,,
Int J Concr Struct M,International Journal of Concrete Structures and Materials,Q3,60,韩国,
JCI Insight,JCI Insight,Q1,549,,
Agriculture-Basel,Agriculture-Basel,Q2,260,,
Eur J Polit Res,European Journal of Political Research,Q1,57,,
IEEE Aero El Sys Mag,IEEE Aerospace and Electronic Systems Magazine,Q3,67,美国,月刊
J Pidgin Creole Lang,Journal of Pidgin and Creole Languages,Q4,8,,
Clin Epidemiol,Clinical Epidemiology,Q2,91,,
Praehist Z,Praehistorische Zeitschrift,Q3,21,,
Biol Pharm Bull,Biological & Pharmaceutical Bulletin,Q4,292,日本,月刊
J S Afr Vet Assoc,Journal of the South African Veterinary Association,Q2,18,南非,
J Meteorol Soc Jpn,Journal of the Meteorological Society of Japan,Q3,60,日本,双月刊
Semin Oncol Nurs,Seminars in Oncology Nursing,Q3/Q4,71,,
Wood Fiber Sci,Wood and Fiber Science,Q2/Q3,38,美国,季刊
Chaos Soliton Fract,Chaos Solitons & Fractals,Q1,367,英国,双月刊
J Periodontal Implan,Journal of Periodontal and Implant Science,Q2,34,韩国,
Am Econ J-Microecon,American Economic Journal-Microeconomics,Q3,30,,
J Funct Foods,Journal of Functional Foods,Q1/Q2,564,荷兰,
Hydrol Wasserbewirts,Hydrologie Und Wasserbewirtschaftung,Q4,13,德国,双月刊
Mobile DNA-UK,Mobile DNA,Q2,49,英国,
Road Mater Pavement,Road Materials and Pavement Design,Q2,168,法国,季刊
Columbia J Law Soc P,Columbia Journal of Law and Social Problems,Q4,12,,
Food Sci Technol Res,Food Science and Technology Research,Q4,102,日本,季刊
Syst Biol,Systematic Biology,Q1,70,美国,双月刊
J Process Contr,Journal of Process Control,Q2,172,英国,双月刊
IEEE Circ Syst Mag,IEEE Circuits and Systems Magazine,Q2,12,美国,季刊
Cancer Nurs,Cancer Nursing,Q1/Q2/Q4,90,美国,双月刊
Int Relat Asia-Pac,International Relations of the Asia-Pacific,Q2,17,,
Sedimentology,Sedimentology,Q1,111,英国,双月刊
Nano,Nano,Q3/Q4,168,新加坡,双月刊
J Renin-Angio-Aldo S,Journal of the Renin-Angiotensin-Aldosterone System,Q4,19,英国,季刊
Aging Clin Exp Res,Aging Clinical and Experimental Research,Q3,213,意大利,双月刊
Toxics,Toxics,Q2,60,,
Npg Asia Mater,Npg Asia Materials,Q1,79,日本,
Psychol Res Behav Ma,Psychology Research and Behavior Management,Q2,105,,
Photonic Netw Commun,Photonic Network Communications,Q3,68,美国,双月刊
Arch Biol Sci,Archives of Biological Sciences,Q4,80,塞尔维亚,季刊
JAMA Cardiol,JAMA Cardiology,Q1,120,,
J Pain,Journal of Pain,Q1,126,美国,月刊
BMB Rep,BMB Reports,Q3,103,韩国,月刊
Harvard Environ Law,Harvard Environmental Law Review,Q1/Q2,7,,
Informatica-Lithuan,Informatica,Q1/Q2,38,立陶宛,季刊
Fr Hist,French History,Q4,16,,
Arch Insect Biochem,Archives of Insect Biochemistry and Physiology,Q2/Q4,69,美国,月刊
Z Wirtschaftsgeogr,Zeitschrift Fur Wirtschaftsgeographie,Q3,7,,
Tex Heart I J,Texas Heart Institute Journal,Q4,37,美国,
Plankton Benthos Res,Plankton & Benthos Research,Q4,37,,
Pediatr Nephrol,Pediatric Nephrology,Q1/Q2,189,美国,月刊
Int J Prosthodont,International Journal of Prosthodontics,Q3,83,美国,双月刊
J Manage Inquiry,Journal of Management Inquiry,Q3,50,,
J Aust Polit Econ,Journal of Australian Political Economy,Q4,12,,
J Electron Commer Re,Journal of Electronic Commerce Research,Q3,16,,
Appl Psychophys Biof,Applied Psychophysiology and Biofeedback,Q3,31,,
Forests,Forests,Q1,1148,瑞士,
Am J Clin Pathol,American Journal of Clinical Pathology,Q2,158,美国,月刊
Math Struct Comp Sci,Mathematical Structures in Computer Science,Q4,50,英国,双月刊
Asian J Women Stud,Asian Journal of Womens Studies,Q4,29,,
Nucl Med Commun,Nuclear Medicine Communications,Q4,164,美国,月刊
Propag Ornam Plants,Propagation of Ornamental Plants,Q3,16,,
J Appl Behav Anal,Journal of Applied Behavior Analysis,Q3,79,,
Pharmacology,Pharmacology,Q4,81,瑞士,月刊
Cancer Epidemiol,Cancer Epidemiology,Q2/Q4,167,英国,双月刊
Cr Chim,Comptes Rendus Chimie,Q3,27,法国,月刊
Sustain Energy Grids,Sustainable Energy Grids & Networks,Q2/Q3,50,,
Rev Public Pers Adm,Review of Public Personnel Administration,Q2,27,,
Astron Geophys,Astronomy & Geophysics,Q4,28,英国,双月刊
Braz J Phys Ther,Brazilian Journal of Physical Therapy,Q2,62,巴西,双月刊
Palaeontogr Abt A,Palaeontographica Abteilung A-Palaozoologie-Stratigraphie,Q1,6,德国,双月刊
Inverse Probl Imag,Inverse Problems and Imaging,Q2,60,美国,季刊
Fisheries Manag Ecol,Fisheries Management and Ecology,Q2,64,美国,双月刊
Cell Microbiol,Cellular Microbiology,Q2/Q3,140,英国,双月刊
Control Eng Pract,Control Engineering Practice,Q2,226,英国,双月刊
Semin Thromb Hemost,Seminars in Thrombosis and Hemostasis,Q2,82,美国,双月刊
Fourrages,Fourrages,Q4,33,法国,季刊
Hist Biol,Historical Biology,Q2,115,英国,
Wires Nanomed Nanobi,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,Q1,37,美国,双月刊
Int J Bio-Inspir Com,International Journal of Bio-Inspired Computation,Q2/Q3,42,英国,
Pak Vet J,Pakistan Veterinary Journal,Q2,120,巴基斯坦,季刊
Evol Anthropol,Evolutionary Anthropology,Q1,15,,
Probab Eng Inform Sc,Probability in the Engineering and Informational Sciences,Q3/Q4,34,美国,季刊
Aktuel Urol,Aktuelle Urologie,Q4,42,德国,双月刊
Int J Photoenergy,International Journal of Photoenergy,Q3,94,埃及,季刊
J Cytol,Journal of Cytology,Q4,36,印度,季刊
Physiol Res,Physiological Research,Q4,142,捷克共和国,双月刊
J Health Care Poor U,Journal of Health Care for the Poor and Underserved,Q4,104,,
J Immunol,Journal of Immunology,Q2,634,美国,双月刊
Organization,Organization,Q2,47,,
Epidemiol Mikrobi Im,Epidemiologie Mikrobiologie Imunologie,Q4,25,,季刊
B Indones Econ Stud,Bulletin of Indonesian Economic Studies,Q1/Q3,14,,
Clin Rehabil,Clinical Rehabilitation,Q1,175,英国,双月刊
Adv Cancer Res,Advances in Cancer Research,Q1,28,美国,不定期
Eur J Plant Pathol,European Journal of Plant Pathology,Q2,309,荷兰,月刊
J Membrane Sci,Journal of Membrane Science,Q1,838,荷兰,双月刊
J Polym Environ,Journal of Polymers and the Environment,Q2/Q3,257,美国,季刊
New Perspect Turk,New Perspectives on Turkey,Q3,12,,
High Energ Chem+,High Energy Chemistry,Q4,84,俄国,双月刊
Theor Criminol,Theoretical Criminology,Q1,28,,
Blood Cancer J,Blood Cancer Journal,Q1,65,英国,
Sumar List,Sumarski List,Q4,47,克罗地亚,月刊
Alcohol,Alcohol,Q3,115,美国,月刊
Life-Basel,Life-Basel,Q2,77,,
Chin Med-UK,Chinese Medicine,Q1/Q2,58,英国,
Ecol Freshw Fish,Ecology of Freshwater Fish,Q2,57,丹麦,季刊
J Educ Teaching,Journal of Education for Teaching,Q3,46,,
Am Crim Law Rev,American Criminal Law Review,Q3,6,,
Geotectonics+,Geotectonics,Q4,50,俄国,双月刊
Vet Surg,Veterinary Surgery,Q2,169,美国,双月刊
Biomed Environ Sci,Biomedical and Environmental Sciences,Q2,66,英国,双月刊
J Vet Diagn Invest,Journal of Veterinary Diagnostic Investigation,Q2,152,美国,双月刊
Matter Radiat Extrem,Matter and Radiation At Extremes,Q2,39,,
Biotech Histochem,Biotechnic & Histochemistry,Q4,65,英国,双月刊
J Food Saf Food Qual,Journal of Food Safety and Food Quality-Archiv Fur Lebensmittelhygiene,Q4,19,德国,双月刊
J Hand Surg-Eur Vol,Journal of Hand Surgery-European Volume,Q2,128,英国,双月刊
Insect Soc,Insectes Sociaux,Q2,60,法国,季刊
J Econ Inequal,Journal of Economic Inequality,Q3,25,,
Arch Molluskenkd,Archiv Fur Molluskenkunde,Q3,7,德国,
Int J Soc Psychiatr,International Journal of Social Psychiatry,Q3,68,,
Mol Cell,Molecular Cell,Q1,352,美国,双月刊
J Transp Eng B-Pave,Journal of Transportation Engineering Part B-Pavements,Q4,53,,
Arch Argent Pediatr,Archivos Argentinos de Pediatria,Q4,162,阿根廷,双月刊
Fems Yeast Res,Fems Yeast Research,Q2,99,荷兰,双月刊
J Cell Sci,Journal of Cell Science,Q2,352,英国,双月刊
E Asian J Appl Math,East Asian Journal on Applied Mathematics,Q1,47,中国,
Mind Cult Act,Mind Culture and Activity,Q4,16,,
Commun Res,Communication Research,Q1,49,,
ACS Sensors,ACS Sensors,Q1,397,,
Appl Math-Czech,Applications of Mathematics,Q4,32,捷克共和国,双月刊
J Sport Health Sci,Journal of Sport and Health Science,Q1,63,中国,
Curr Sport Med Rep,Current Sports Medicine Reports,Q3,75,美国,双月刊
Systems Eng,Systems Engineering,Q4,38,美国,季刊
Nutr Clin Metab,Nutrition Clinique et Metabolisme,Q4,23,法国,季刊
Rev Financ,Review of Finance,Q1,33,,
Opt Mater Express,Optical Materials Express,Q1/Q2,433,美国,
J Laryngol Otol,Journal of Laryngology and Otology,Q4,162,英国,月刊
J Appl Res Mem Cogn,Journal of Applied Research in Memory and Cognition,Q1,36,,
Rev Esp Quim,Revista Espanola de Quimioterapia,Q4,84,西班牙,季刊
Int Polit Sci Rev,International Political Science Review,Q3,41,,
Nematropica,Nematropica,Q4,26,美国,半年刊
Curr Prob Pediatr Ad,Current Problems in Pediatric and Adolescent Health Care,Q3,28,美国,
Psychiat Clin Psych,Psychiatry and Clinical Psychopharmacology,Q4,117,,
J Korean Astron Soc,Journal of the Korean Astronomical Society,Q4,22,韩国,双月刊
Int J Health Econ Ma,International Journal of Health  Economics and Management,Q3/Q4,20,,
Health Psychol Rev,Health Psychology Review,Q1,23,,
J Pharm Sci-US,Journal of Pharmaceutical Sciences,Q2,414,美国,月刊
Can J Math,Canadian Journal of Mathematics-Journal Canadien de Mathematiques,Q2,49,加拿大,双月刊
J Biomech,Journal of Biomechanics,Q3,454,英国,月刊
J Enhanc Heat Transf,Journal of Enhanced Heat Transfer,Q3,32,英国,季刊
Green Chem,Green Chemistry,Q1,651,英国,双月刊
Rev Mex Ing Quim,Revista Mexicana de Ingenieria Quimica,Q3,99,墨西哥,三年刊
Except Children,Exceptional Children,Q1,25,,
Limnol Oceanogr Lett,Limnology and Oceanography Letters,Q1,21,,
Balk Med J,Balkan Medical Journal,Q3,41,土耳其,
npj Microgravity,npj Microgravity,Q2,30,,
Transport Res D-Tr E,Transportation Research Part D-Transport and Environment,Q1/Q2,276,英国,双月刊
Tribol Int,Tribology International,Q1,500,英国,月刊
J Speech Lang Hear R,Journal of Speech Language and Hearing Research,Q1/Q2,265,美国,
Philos T R Soc B,Philosophical Transactions of the Royal Society B-Biological Sciences,Q1,396,英国,月刊
Skelet Muscle,Skeletal Muscle,Q2,31,英国,
J Soc Work,Journal of Social Work,Q3,38,,
J Outdoor Rec Tour,Journal of Outdoor Recreation and Tourism-Research Planning and Management,Q3,44,,
J Clin Exp Neuropsyc,Journal of Clinical and Experimental Neuropsychology,Q3,89,荷兰,双月刊
Int J Heat Fluid Fl,International Journal of Heat and Fluid Flow,Q2/Q3,143,美国,双月刊
Health Serv Res,Health Services Research,Q2,140,美国,双月刊
Travel Behav Soc,Travel Behaviour and Society,Q2,63,,
Qual Res Account Man,Qualitative Research in Accounting and Management,Q4,21,,
Appl Bionics Biomech,Applied Bionics and Biomechanics,Q4,51,荷兰,
Pm&r,Pm&r,Q2/Q3,151,美国,
Cr Math,Comptes Rendus Mathematique,Q3,118,法国,双月刊
J Thermoplast Compos,Journal of Thermoplastic Composite Materials,Q3,97,英国,双月刊
J ACM,Journal of the ACM,Q2/Q3,37,美国,双月刊
Prog Mater Sci,Progress in Materials Science,Q1,54,英国,双月刊
Electrochem Commun,Electrochemistry Communications,Q2,223,美国,月刊
Eng Geol,Engineering Geology,Q1,300,荷兰,月刊
J Paleolimnol,Journal of Paleolimnology,Q2/Q3,55,荷兰,双月刊
Appl Microbiol Biot,Applied Microbiology and Biotechnology,Q2,742,德国,双月刊
Soil Till Res,Soil & Tillage Research,Q1,328,荷兰,月刊
J Noncommut Geom,Journal of Noncommutative Geometry,Q3/Q4,33,瑞士,季刊
J Phys A-Math Theor,Journal of Physics A-Mathematical and Theoretical,Q2,452,英国,周刊
Biol Sex Differ,Biology of Sex Differences,Q2,58,英国,
Eur J Heart Fail,European Journal of Heart Failure,Q1,126,荷兰,双月刊
Nucl Phys B,Nuclear Physics B,Q2,297,荷兰,双周刊
Innov Educ Teach Int,Innovations in Education and Teaching International,Q4,65,,
Neth J Geosci,Netherlands Journal of Geosciences-Geologie En Mijnbouw,Q3,9,荷兰,季刊
Chem Phys Lipids,Chemistry and Physics of Lipids,Q3,108,荷兰,月刊
Tijdschr Econ Soc Ge,Tijdschrift Voor Economische En Sociale Geografie,Q3/Q4,38,,
Atmos Ocean,Atmosphere-Ocean,Q3/Q4,20,加拿大,季刊
J Pain Symptom Manag,Journal of Pain and Symptom Management,Q1/Q2,223,美国,月刊
Exp Neurol,Experimental Neurology,Q1,210,美国,月刊
Cancer Lett,Cancer Letters,Q1,426,荷兰,双周刊
Accounts Chem Res,Accounts of Chemical Research,Q1,324,美国,月刊
Mol Phys,Molecular Physics,Q3,318,英国,双月刊
Am Sci,American Scientist,Q4,40,美国,双月刊
J Sex Res,Journal of Sex Research,Q1,74,,
J Quant Linguist,Journal of Quantitative Linguistics,Q3,14,,
Nurs Philos,Nursing Philosophy,Q4,36,英国,季刊
Appl Plant Sci,Applications in Plant Sciences,Q2,65,美国,
Neurotoxicol Teratol,Neurotoxicology and Teratology,Q2,39,英国,双月刊
Harvard Rev Psychiat,Harvard Review of Psychiatry,Q2,35,美国,
Radiol Med,Radiologia Medica,Q3,145,意大利,月刊
Heat Transf Res,Heat Transfer Research,Q4,101,白俄罗斯,双月刊
J Nepal Med Assoc,Journal of Nepal Medical Association,Q4,109,尼泊尔,季刊
Agr Water Manage,Agricultural Water Management,Q1,499,荷兰,月刊
Astron Nachr,Astronomische Nachrichten,Q4,112,德国,双月刊
Acta Soc Bot Pol,Acta Societatis Botanicorum Poloniae,Q3,31,波兰,季刊
Linguistics,Linguistics,Q3,37,,
Adv Eng Mater,Advanced Engineering Materials,Q2,364,德国,月刊
Res Soc Admin Pharm,Research in Social & Administrative Pharmacy,Q1,178,,
Pac-Basin Financ J,Pacific-Basin Finance Journal,Q1,165,,
Harvard Educ Rev,Harvard Educational Review,Q2,18,,
Plant Mol Biol Rep,Plant Molecular Biology Reporter,Q3/Q4,39,美国,季刊
HIV Med,HIV Medicine,Q2,86,英国,双月刊
Mediterr Mar Sci,Mediterranean Marine Science,Q2,64,希腊,半年刊
Work,Work-A Journal of Prevention Assessment & Rehabilitation,Q4,198,,
Ocean Sci J,Ocean Science Journal,Q4,52,韩国,
Sage Open,Sage Open,Q4,390,,
World Rev Nutr Diet,World Review of Nutrition and Dietetics,Q4,9,,
Brit J Gen Pract,British Journal of General Practice,Q1,102,英国,月刊
Polit Stud-London,Political Studies,Q2,55,,
Glia,Glia,Q1,160,美国,月刊
Particul Sci Technol,Particulate Science and Technology,Q3,109,美国,季刊
Career Dev Int,Career Development International,Q2/Q3,44,,
J Couns Psychol,Journal of Counseling Psychology,Q1,63,,
Cell Stem Cell,Cell Stem Cell,Q1,117,美国,月刊
Metrika,Metrika,Q4,46,德国,双月刊
J World Bus,Journal of World Business,Q1,42,,
Contemp Nurse,Contemporary Nurse,Q4,38,澳大利亚,双月刊
Am J Physiol-Lung C,American Journal of Physiology-Lung Cellular and Molecular Physiology,Q1/Q2,174,美国,月刊
Pediatr Neurol,Pediatric Neurology,Q1/Q2,126,美国,月刊
Rehabil Psychol,Rehabilitation Psychology,Q2/Q3,45,,
Opt Switch Netw,Optical Switching and Networking,Q2/Q3,54,荷兰,季刊
