Journal,IF(2021)
Anuari de Filologia-Literatures Contemporanies,N/A
Ars Judaica-The Bar Ilan Journal of Jewish Art,N/A
Art Design & Communication in Higher Education,N/A
BULLETIN OF THE INSTITUTE OF CLASSICAL STUDIES,N/A
INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY,N/A
ISRA International Journal of Islamic Finance,N/A
Icelandic Review of Politics & Administration,N/A
Imago-Revista de Emblematica y Cultura Visual,N/A
Industrial Engineering and Management Systems,N/A
Intelligent Decision Technologies-Netherlands,N/A
International Archives of Otorhinolaryngology,N/A
International Cardiovascular Research Journal,N/A
International Journal Cardiology Hypertension,N/A
International Journal of Asia Pacific Studies,N/A
International Journal of Business Environment,N/A
International Journal of Business and Society,N/A
International Journal of Conservation Science,N/A
International Journal of Educational Sciences,N/A
International Journal of Emergency Management,N/A
International Journal of Engineering Pedagogy,N/A
International Journal of Health Sciences-IJHS,N/A
International Journal of Industrial Chemistry,N/A
International Journal of Islamic Architecture,N/A
International Journal of Knowledge Management,N/A
International Journal of Sino-Western Studies,N/A
International Journal of Structural Integrity,N/A
International Journal of Surgery Case Reports,N/A
International Journal of Sustainable Aviation,N/A
International Journal of the Legal Profession,N/A
Iranian Journal of Language Teaching Research,N/A
Italianistica-Rivista di letteratura Italiana,N/A
JMM-International Journal on Media Management,N/A
JOURNAL OF THE AMERICAN MUSICOLOGICAL SOCIETY,N/A
Journal for Critical Education Policy Studies,N/A
Journal for the Study of Paul and His Letters,N/A
Journal for the Study of the Historical Jesus,N/A
Journal of Agricultural and Applied Economics,N/A
Journal of Applied Journalism & Media Studies,N/A
Journal of Basic and Clinical Health Sciences,N/A
Journal of Child and Adolescent Mental Health,N/A
Journal of Chinese Human Resources Management,N/A
Journal of Clinical and Translational Science,N/A
Journal of Cognitive Education and Psychology,N/A
Journal of Craniovertebral Junction and Spine,N/A
Journal of Digital Forensics Security and Law,N/A
Journal of Engineering Science and Technology,N/A
Journal of Entrepreneurship and Public Policy,N/A
Journal of Environmental Economics and Policy,N/A
Journal of Environmental Studies and Sciences,N/A
Journal of Financial Reporting and Accounting,N/A
Journal of Iberian and Latin American Studies,N/A
Journal of Inequalities and Special Functions,N/A
Journal of Information & Knowledge Management,N/A
Journal of Information Assurance and Security,N/A
Journal of Inter-Organizational Relationships,N/A
Journal of International Trade Law and Policy,N/A
Journal of Internet Services and Applications,N/A
Journal of Legal Pluralism and Unofficial Law,N/A
Journal of Management Spirituality & Religion,N/A
Journal of Military Veteran and Family Health,N/A
Journal of Modern Applied Statistical Methods,N/A
Journal of Nonprofit Education and Leadership,N/A
Journal of Obstetrics and Gynecology of India,N/A
Journal of Park and Recreation Administration,N/A
Journal of Pharmaceutical Policy and Practice,N/A
Journal of Religion Media and Digital Culture,N/A
Journal of Reports in Pharmaceutical Sciences,N/A
Journal of Science and Technology of the Arts,N/A
Rivista Italiana di Filosofia del Linguaggio,N/A
Romanian Journal of Transport Infrastructure,N/A
SMART-Journal of Business Management Studies,N/A
Saudi Journal of Medicine & Medical Sciences,N/A
Science of Diabetes Self-Management and Care,N/A
South African Journal of Accounting Research,N/A
South African Journal of Childhood Education,N/A
Spiritus-A Journal of Christian Spirituality,N/A
Strategies in Trauma and Limb Reconstruction,N/A
Studia Theologica-Nordic Journal of Theology,N/A
Studia Universitatis Babes-Bolyai Philologia,N/A
TRANSACTIONS OF THE CHARLES S PEIRCE SOCIETY,N/A
Toxicology and Environmental Health Sciences,N/A
Tuberkuloz ve Toraks-Tuberculosis and Thorax,N/A
Turkish Journal of Obstetrics and Gynecology,N/A
Turkish Online Journal of Distance Education,N/A
Vestnik St Petersburg University-Mathematics,N/A
Virajes-Revista de Antropologia y Sociologia,N/A
WPOM-Working Papers on Operations Management,N/A
ACM Transactions on Economics and Computation,N/A
AD ALTA-Journal of Interdisciplinary Research,N/A
ARO-The Scientific Journal of Koya University,N/A
Aleph-Historical Studies in Science & Judaism,N/A
Alter-European Journal of Disability Research,N/A
Ancient Civilizations from Scythia to Siberia,N/A
Annals of Laparoscopic and Endoscopic Surgery,N/A
Anuario Lope de Vega-Texto Literatura Cultura,N/A
ArtCultura-Revista de Historia Cultura e Arte,N/A
Asia Pacific Journal of Public Administration,N/A
Atalante-Revista de Estudios Cinematograficos,N/A
Australian Journal of Environmental Education,N/A
BMJ Simulation & Technology Enhanced Learning,N/A
Biomedical and Biotechnology Research Journal,N/A
Boletim do Arquivo da Universidade de Coimbra,N/A
British Journal for the History of Philosophy,N/A
Bulletin of Computational Applied Mathematics,N/A
Business Management and Economics Engineering,N/A
CHASQUI-REVISTA DE LITERATURA LATINOAMERICANA,N/A
CIAN-Revista de Historia de las Universidades,N/A
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA,N/A
Central European Public Administration Review,N/A
Central and Eastern European Migration Review,N/A
Contemporanea-Revista de Sociologia da UFSCar,N/A
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,N/A
ELIA-Estudios de Linguistica Inglesa Aplicada,N/A
EUPHORION-ZEITSCHRIFT FUR LITERATURGESCHICHTE,N/A
Elos-Revista de Literatura Infantil e Xuvenil,N/A
Encounters in Theory and History of Education,N/A
Entrepreneurial Business and Economics Review,N/A
Ermeneutica Letteraria-Rivista Internazionale,N/A
European Journal of Media Art and Photography,N/A
European Journal of Pediatric Surgery Reports,N/A
European Judaism-A Journal for the New Europe,N/A
Foundations and Trends in Systems and Control,N/A
Gadjah Mada international journal of business,N/A
German Journal of Exercise and Sport Research,N/A
Gesundheitsoekonomie und Qualitaetsmanagement,N/A
Girlhood Studies-An Interdisciplinary Journal,N/A
Guncel Pediatri-Journal of Current Pediatrics,N/A
HISTORICAL REFLECTIONS-REFLEXIONS HISTORIQUES,N/A
Haseki TIp Bulteni-Medical Bulletin of Haseki,N/A
Humana Mente-Journal of Philosophical Studies,N/A
IEEE Open Journal of Antennas and Propagation,N/A
INTERNATIONAL JOURNAL OF GLOBAL ENERGY ISSUES,N/A
International Journal of Emotional Education,N/A
International Journal of Game-Based Learning,N/A
International Journal of Heat and Technology,N/A
International Journal of Intangible Heritage,N/A
International Journal of Learning Technology,N/A
International Journal of Preventive Medicine,N/A
International Journal of Retina and Vitreous,N/A
International Journal of Software Innovation,N/A
International Journal of Sport Communication,N/A
International Journal of Systematic Theology,N/A
International Journal of Tryptophan Research,N/A
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,N/A
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,N/A
JOURNAL OF PRE-RAPHAELITE STUDIES-NEW SERIES,N/A
Jordan Journal of Mathematics and Statistics,N/A
Journal for Educational Research Online-JERO,N/A
Journal of Applied Mathematics & Informatics,N/A
Journal of Astronomical History and Heritage,N/A
Journal of Ayurveda and Integrative Medicine,N/A
Journal of Early Childhood Teacher Education,N/A
Journal of Educational Sciences & Psychology,N/A
Journal of Engineering Design and Technology,N/A
Journal of Financial Counseling and Planning,N/A
Journal of French and Francophone Philosophy,N/A
Journal of Hand Surgery-Asian-Pacific Volume,N/A
Journal of Industrial and Business Economics,N/A
Journal of Information and Telecommunication,N/A
Journal of Innovation Economics & Management,N/A
Journal of International Accounting Research,N/A
Journal of Limb Lengthening & Reconstruction,N/A
Journal of Mental Health and Human Behaviour,N/A
Journal of Obstetrics and Gynaecology Canada,N/A
Journal of Oral Health and Oral Epidemiology,N/A
Journal of Pediatric Rehabilitation Medicine,N/A
Journal of Pharmacy & Pharmacognosy Research,N/A
Journal of Primary Care and Community Health,N/A
Journal of Scleroderma and Related Disorders,N/A
Journal of Spiritual Formation and Soul Care,N/A
Journal of Vocational Education and Training,N/A
Journal of the American Taxation Association,N/A
Journal of the Selva Andina Research Society,N/A
Lege Artis-Language Yesterday Today Tomorrow,N/A
Management Systems in Production Engineering,N/A
Management and Production Engineering Review,N/A
Mathematics and Mechanics of Complex Systems,N/A
Mediterranean Journal of Clinical Psychology,N/A
Middle East African Journal of Ophthalmology,N/A
Monumenta Serica-Journal of Oriental Studies,N/A
Mosaic-An Interdisciplinary Critical Journal,N/A
Perinola-Revista de Investigacion Quevediana,N/A
Processes of Petrochemistry and Oil Refining,N/A
Progress in Superconductivity and Cryogenics,N/A
Quiroga-Revista de Patrimonio Iberoamericano,N/A
RBRH-Revista Brasileira de Recursos Hidricos,N/A
REVELL-Revista de Estudos Literarios da UEMS,N/A
Rehabilitation Research Policy and Education,N/A
Rendiconti Online Societa Geologica Italiana,N/A
Rendiconti del Circolo Matematico di Palermo,N/A
Revista General de Derecho Publico Comparado,N/A
Revista Gestion de las Personas y Tecnologia,N/A
Revista Iberoamericana de Psicologia y Salud,N/A
Revista Internacional de Relaciones Publicas,N/A
Revista Peruana de Ginecologia y Obstetricia,N/A
Revista de Estudios Politicos y Estrategicos,N/A
Smart and Sustainable Manufacturing Systems,N/A
South African Journal of Clinical Nutrition,N/A
Sravnitelnaya Politika-Comparative Politics,N/A
Studies in Spanish & Latin American Cinemas,N/A
Suranaree Journal of Science and Technology,N/A
TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY,N/A
TRIPLEC-Communication Capitalism & Critique,N/A
The Journal of Indian Prosthodontic Society,N/A
Therapeutic Advances in Reproductive Health,N/A
Thoracic and Cardiovascular Surgeon Reports,N/A
Topics in Spinal Cord Injury Rehabilitation,N/A
Turkish Journal of Islamic Economics-TUJISE,N/A
Uroonkoloji Bulteni-Bulletin of Urooncology,N/A
WOMENS STUDIES-AN INTERDISCIPLINARY JOURNAL,N/A
World Journal of Gastrointestinal Endoscopy,N/A
Wspolczesna Onkologia-Contemporary Oncology,N/A
ZEITSCHRIFT DES DEUTSCHEN PALASTINA-VEREINS,N/A
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK,N/A
Zbornik Instituta za Pedagoska Istrazivanja,N/A
Zeitschrift fur Interkulturelle Germanistik,N/A
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,N/A
African Review of Economics and Finance-AREF,N/A
Al-Bayan-Journal of Quran and Hadith Studies,N/A
Anagnorisis-Revista de Investigacion Teatral,N/A
Anais Brasileiros de Estudos Turisticos-ABET,N/A
Anthropological Journal of European Cultures,N/A
Archeomatica-Tecnologie per i Beni Culturali,N/A
Asia-Pacific Journal of Ocean Law and Policy,N/A
Asian Journal of Agriculture and Development,N/A
Australian Journal of Mechanical Engineering,N/A
Australian Journal of Structural Engineering,N/A
BIOMEDICAL ENGINEERING-MEDITSINSKAYA TEKNIKA,N/A
Boyhood Studies-An Interdisciplinary Journal,N/A
Bulletin of Russian State Medical University,N/A
CTAD-Cumhuriyet Tarihi Arastirmalari Dergisi,N/A
Canadian Society of Forensic Science Journal,N/A
Cardiovascular Intervention and Therapeutics,N/A
Clinical Social Work and Health Intervention,N/A
Clinical and Experimental Emergency Medicine,N/A
Differential Equations and Dynamical Systems,N/A
ECOS-Estudos Contemporaneos da Subjetividade,N/A
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION,N/A
EURO Journal on Transportation and Logistics,N/A
Edma 0-6-Educacion Matematica en la Infancia,N/A
Educational Research for Policy and Practice,N/A
Electronic Journal of Structural Engineering,N/A
Employee Responsibilities and Rights Journal,N/A
Environment and Society-Advances in Research,N/A
European Journal of Education and Psychology,N/A
European Journal of Training and Development,N/A
GIST-Education and Learning Research Journal,N/A
HERMES-ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,N/A
Historiografias-Revista de Historia y Teoria,N/A
IEEE Open Access Journal of Power and Energy,N/A
INTERNATIONAL JOURNAL OF FRANCOPHONE STUDIES,N/A
Iberoamerican Journal of Development Studies,N/A
Independent Journal of Teaching and Learning,N/A
Interdisciplinary Studies of Complex Systems,N/A
International E-Journal of Criminal Sciences,N/A
International Electronic Journal of Geometry,N/A
International Journal of Arts and Technology,N/A
International Journal of Chinese Linguistics,N/A
International Journal of E-Business Research,N/A
International Journal of E-Planning Research,N/A
Journal of Acupuncture and Meridian Studies,N/A
Journal of Adaptation in Film & Performance,N/A
Journal of Business & Finance Librarianship,N/A
Journal of Clinical and Diagnostic Research,N/A
Journal of Condensed Matter Nuclear Science,N/A
Journal of Corporate Accounting and Finance,N/A
Journal of Cutaneous Immunology and Allergy,N/A
Journal of Diabetes and Metabolic Disorders,N/A
Journal of E-Learning and Knowledge Society,N/A
Journal of Elliptic and Parabolic Equations,N/A
Journal of Family Medicine and Primary Care,N/A
Journal of Financial Market Infrastructures,N/A
Journal of Geology Geography and Geoecology,N/A
Journal of Geometry and Symmetry in Physics,N/A
Journal of Historical Research in Marketing,N/A
Journal of Hospitality and Tourism Insights,N/A
Journal of Human Rights and the Environment,N/A
Journal of Hunger & Environmental Nutrition,N/A
Journal of Intelligence Studies in Business,N/A
Journal of International Consumer Marketing,N/A
Journal of Italian Cinema and Media Studies,N/A
Journal of Language Aggression and Conflict,N/A
Journal of Microbiology & Biology Education,N/A
Journal of Multi-Criteria Decision Analysis,N/A
Journal of Place Management and Development,N/A
Journal of Research on Leadership Education,N/A
Journal of Settlements and Spatial Planning,N/A
Journal of Social Distress and the Homeless,N/A
Journal of Sustainable Finance & Investment,N/A
Journal of Technical Education and Training,N/A
Journal of Visual Communication in Medicine,N/A
Journal of the Korean Earth Science Society,N/A
Journal of the Korean Society of Combustion,N/A
Junctures-The Journal for Thematic Dialogue,N/A
Kratkie Soobshcheniya Instituta Arkheologii,N/A
Latin American and Caribbean Ethnic Studies,N/A
METU Journal of the Faculty of Architecture,N/A
Malaysian Journal of Learning & Instruction,N/A
Margin-Journal of Applied Economic Research,N/A
Mathematical and Computational Applications,N/A
Media Penelitian dan Pengembangan Kesehatan,N/A
Methods of Functional Analysis and Topology,N/A
Orbital-The Electronic Journal of Chemistry,N/A
Oriental Pharmacy and Experimental Medicine,N/A
Osterreichische Zeitschrift fuer Soziologie,N/A
Pedagogia Social Revista Interuniversitaria,N/A
Perspectives on Science and Christian Faith,N/A
Pertanika Journal of Science and Technology,N/A
Philosophy and Society-Filozofija i Drustvo,N/A
Problemy Muzykalnoi Nauki-Music Scholarship,N/A
Projections-The Journal for Movies and Mind,N/A
Psychologie du Travail et des Organisations,N/A
Quantum Studies-Mathematics and Foundations,N/A
Quest-Issues in Contemporary Jewish History,N/A
Register of the Kentucky Historical Society,N/A
Revista Pistis & Praxis-Teologia e Pastoral,N/A
Revista de Gestao em Sistemas de Saude-RGSS,N/A
Revista sobre la Infancia y la Adolescencia,N/A
Roeper Review-A Journal on Gifted Education,N/A
Romanian Journal of Acoustics and Vibration,N/A
Sanat Tarihi Dergisi-Journal of Art History,N/A
Scandinavian Journal of Disability Research,N/A
Scientific Annals of Economics and Business,N/A
Service Oriented Computing and Applications,N/A
Clinica e Investigacion en Arteriosclerosis,N/A
Contemporary Clinical Trials Communications,N/A
Craniomaxillofacial Trauma & Reconstruction,N/A
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI,N/A
Departures in Critical Qualitative Research,N/A
Environmental and Sustainability Indicators,N/A
Estetika-The European Journal of Aesthetics,N/A
European Journal for Philosophy of Religion,N/A
European Journal of Computational Mechanics,N/A
European Journal of Sustainable Development,N/A
Expert Review of Endocrinology & Metabolism,N/A
Family & Consumer Sciences Research Journal,N/A
Foundations and Trends in Signal Processing,N/A
GEM-International Journal on Geomathematics,N/A
GIORNALE STORICO DELLA LETTERATURA ITALIANA,N/A
GUERRES MONDIALES ET CONFLITS CONTEMPORAINS,N/A
Geosfernye Issledovaniya-Geosphere Research,N/A
HTM-Journal of Heat Treatment and Materials,N/A
History of Education & Childrens Literature,N/A
Hungarian Journal of Industry and Chemistry,N/A
IEICE Nonlinear Theory and Its Applications,N/A
INSULA-REVISTA DE LETRAS Y CIENCIAS HUMANAS,N/A
INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,N/A
Indian Journal of Economics and Development,N/A
Information & Communications Technology Law,N/A
Information Technologies and Learning Tools,N/A
International Advances in Economic Research,N/A
International Electronic Journal of Algebra,N/A
International Journal of Ayurvedic Medicine,N/A
International Journal of Biomedical Imaging,N/A
International Journal of Bridge Engineering,N/A
International Journal of Business Analytics,N/A
International Journal of Emergency Medicine,N/A
International Journal of Emergency Services,N/A
International Journal of Endocrine Oncology,N/A
International Journal of Esthetic Dentistry,N/A
International Journal of Ethics and Systems,N/A
International Journal of Image and Graphics,N/A
International Journal of Innovation Science,N/A
International Journal of Japanese Sociology,N/A
International Journal of Law and Management,N/A
International Journal of Lifelong Education,N/A
International Journal of Management Studies,N/A
International Journal of Managerial Finance,N/A
International Journal of Neonatal Screening,N/A
International Journal of Palliative Nursing,N/A
International Journal of Pediatrics-Mashhad,N/A
International Journal of Persian Literature,N/A
International Journal of Practical Theology,N/A
International Journal of Rotating Machinery,N/A
International Journal of Semantic Computing,N/A
International Journal of Sustainable Energy,N/A
International Journal of Telerehabilitation,N/A
International Journal of Urological Nursing,N/A
International Journal on Working Conditions,N/A
International Studies in Catholic Education,N/A
Interventional Medicine and Applied Science,N/A
JOURNAL OF ADDICTIONS & OFFENDER COUNSELING,N/A
JOURNAL OF THE AMERICAN ACADEMY OF RELIGION,N/A
JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,N/A
Journal Of Organizational Behavior Research,N/A
Journal for Educators Teachers and Trainers,N/A
Journal for the Study of the Pseudepigrapha,N/A
Journal of Accounting in Emerging Economies,N/A
Ocnos-Revista de Estudios sobre la Lectura,N/A
PHRONESIS-A JOURNAL FOR ANCIENT PHILOSOPHY,N/A
Pediatric Health Medicine and Therapeutics,N/A
Per Linguam-A Journal of Language Learning,N/A
Perspective-Actualite en Histoire de L Art,N/A
Prilozi Instituta za Arheologiju u Zagrebu,N/A
Prism-Theory and Modern Chinese Literature,N/A
Prometeica-Revista de Filosofia y Ciencias,N/A
Publications of the English Goethe Society,N/A
REVIEW-LITERATURE AND ARTS OF THE AMERICAS,N/A
REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA,N/A
REVMAR-Revista Ciencias Marinas y Costeras,N/A
REVUE DES MUSEES DE FRANCE-REVUE DU LOUVRE,N/A
RIVISTA DI LETTERATURE MODERNE E COMPARATE,N/A
Radiation Detection Technology and Methods,N/A
Radio Electronics Computer Science Control,N/A
Residential Treatment for Children & Youth,N/A
Revista Complutense de Historia de America,N/A
Revista Contabilidade e Controladoria-RC C,N/A
Revista Cooperativismo y Desarrollo-COODES,N/A
Revista Espanola de Antropologia Americana,N/A
Revista Internacional de Educacion Musical,N/A
Revista Peruana de Investigacion Educativa,N/A
Revista de Gestao Financas e Contabilidade,N/A
Revista de Linguistica y Lenguas Aplicadas,N/A
Revue Archeologique du Centre de la France,N/A
Rita-Revista Indexada de Textos Academicos,N/A
Sao Paulo Journal of Mathematical Sciences,N/A
Scalable Computing-Practice and Experience,N/A
South African Journal of African Languages,N/A
South African Journal of Bioethics and Law,N/A
Studi irlandesi-A Journal of Irish Studies,N/A
Studia z Filologii Polskiej i Slowianskiej,N/A
Therapeutic Advances in Infectious Disease,N/A
Tourism and Hospitality Management-Croatia,N/A
Turkish Journal of Pharmaceutical Sciences,N/A
University of Western Australia Law Review,N/A
Vision-The Journal of Business Perspective,N/A
Water Conservation Science and Engineering,N/A
Zeitschrift fuer Ganzheitliche Tiermedizin,N/A
e-Informatica Software Engineering Journal,N/A
ACM Journal of Data and Information Quality,N/A
ACM Transactions on Human-Robot Interaction,N/A
ANGLIA-ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE,N/A
Adolescent Health Medicine and Therapeutics,N/A
Advances in Aircraft and Spacecraft Science,N/A
Agora para la Educacion Fisica y el Deporte,N/A
Anales del Instituto de Actuarios Espanoles,N/A
Analytical & Bioanalytical Electrochemistry,N/A
Atelier du Centre de Recherches Historiques,N/A
Australasian Journal of Information Systems,N/A
Australian Journal of Language and Literacy,N/A
Australian Journal of Learning Difficulties,N/A
BOLLETTINO DELLA UNIONE MATEMATICA ITALIANA,N/A
Biocatalysis and Agricultural Biotechnology,N/A
Bulletin of Geography-Socio-Economic Series,N/A
Bulletin of the German Historical Institute,N/A
Bulletin of the Hospital for Joint Diseases,N/A
CIC-Cuadernos de Informacion y Comunicacion,N/A
CONTEMPORARY FRENCH AND FRANCOPHONE STUDIES,N/A
Cambio-Rivista sulle Trasformazioni Sociali,N/A
Cardiovascular Innovations and Applications,N/A
Casopis za Ekonomiju i Trzisne Komunikacije,N/A
Civil and Environmental Engineering Reports,N/A
International Journal on Digital Libraries,N/A
International Medical Case Reports Journal,N/A
Izmir Dr Behcet Uz Cocuk Hastanesi Dergisi,N/A
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,N/A
JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,N/A
JOURNAL OF THE SOCIETY OF CHRISTIAN ETHICS,N/A
Journal for the Academic Study of Religion,N/A
Journal for the Study of Christian Culture,N/A
Journal for the Study of the New Testament,N/A
Journal for the Study of the Old Testament,N/A
Journal of Accounting Auditing and Finance,N/A
Journal of Advances in Management Research,N/A
Journal of Agricultural & Food Information,N/A
Journal of Ancient History and Archaeology,N/A
Journal of Applied Science and Engineering,N/A
Journal of Caffeine and Adenosine Research,N/A
Journal of Cases on Information Technology,N/A
Journal of Complementary Medicine Research,N/A
Journal of Computational Applied Mechanics,N/A
Journal of Conservation and Museum Studies,N/A
Journal of Consumer Health on the Internet,N/A
Journal of Control Science and Engineering,N/A
Journal of East Asia and International Law,N/A
Journal of Emergency Medicine Case Reports,N/A
Journal of Failure Analysis and Prevention,N/A
Journal of Healthcare Informatics Research,N/A
Journal of Holy Land and Palestine Studies,N/A
Journal of Hospitality & Tourism Education,N/A
Journal of Information Technology Research,N/A
Journal of Intergenerational Relationships,N/A
Journal of Language Literature and Culture,N/A
Journal of Language and Cultural Education,N/A
Journal of Language and Literacy Education,N/A
Journal of Library and Information Studies,N/A
Journal of Neurosciences in Rural Practice,N/A
Journal of Pharmaceutical Negative Results,N/A
Journal of Pharmacy and Bioallied Sciences,N/A
Journal of Quantitative Analysis in Sports,N/A
Journal of Research in Applied Linguistics,N/A
Journal of Research in Childhood Education,N/A
Journal of Rural and Community Development,N/A
Journal of Social and Economic Development,N/A
Journal of Social and Political Psychology,N/A
Journal of Statistical Theory and Practice,N/A
Journal of Statistics & Management Systems,N/A
Journal of Theoretical and Applied Physics,N/A
Journal of the Acoustical Society of Korea,N/A
Journal of the Geological Society of Korea,N/A
Journal of the Korean Geosynthetic Society,N/A
Logos & Pneuma-Chinese Journal of Theology,N/A
Malaysian Journal of Mathematical Sciences,N/A
Manzar-The Scientific Journal of Landscape,N/A
Materials Performance and Characterization,N/A
Memo-Magazine of European Medical Oncology,N/A
Memoria y Civilizacion-Anuario de Historia,N/A
Metron-International Journal of Statistics,N/A
Mindanao Journal of Science and Technology,N/A
Modern Stochastics-Theory and Applications,N/A
Molecular Imaging and Radionuclide Therapy,N/A
Muziki-Journal of Music Research in Africa,N/A
NEW ZEALAND JOURNAL OF EDUCATIONAL STUDIES,N/A
Numerical Algebra Control and Optimization,N/A
Nutricion Clinica y Dietetica Hospitalaria,N/A
OSTERREICHISCHE ZEITSCHRIFT FUR VOLKSKUNDE,N/A
Asian Journal of Accounting and Governance,N/A
Australian Journal of Emergency Management,N/A
Australian Journal of Indigenous Education,N/A
BOLETIN DE LA SOCIEDAD MATEMATICA MEXICANA,N/A
Biointerface Research in Applied Chemistry,N/A
Boletim Sociedade Paranaense de Matematica,N/A
CHINESE JOURNAL OF LASERS-ZHONGGUO JIGUANG,N/A
Childrens Literature Association Quarterly,N/A
Chronic Wound Care Management and Research,N/A
Clinical Advances in Hematology & Oncology,N/A
Clinical Medicine Insights-Blood Disorders,N/A
Clinical and Experimental Gastroenterology,N/A
Clinical and Experimental Vaccine Research,N/A
Comunicacio-Revista de Recerca i d Analisi,N/A
Confluenze-Rivista di Studi Iberoamericani,N/A
Contemporary Islam-Dynamics of Muslim Life,N/A
Costume-The Journal of the Costume Society,N/A
Croatian Yearbook of European Law & Policy,N/A
Currents in Pharmacy Teaching and Learning,N/A
Debats-Revista de Cultura Poder i Societat,N/A
Disputatio-Philosophical Research Bulletin,N/A
ENGLISH LITERATURE IN TRANSITION 1880-1920,N/A
EURO Journal on Computational Optimization,N/A
Educational and Developmental Psychologist,N/A
Egyptian Journal of Medical Human Genetics,N/A
Entrepreneurship and Sustainability Issues,N/A
Environmental Economics and Policy Studies,N/A
European Journal of Contemporary Education,N/A
European Journal of Environmental Sciences,N/A
European Journal of International Security,N/A
European Journal of Transformation Studies,N/A
FDMP-Fluid Dynamics & Materials Processing,N/A
Financial Markets and Portfolio Management,N/A
Finisterra-Revista Portuguesa de Geografia,N/A
Foundations and Trends in Entrepreneurship,N/A
Foundations and Trends in Machine Learning,N/A
GESTA-INTERNATIONAL CENTER OF MEDIEVAL ART,N/A
Geofizicheskiy Zhurnal-Geophysical Journal,N/A
HTS Teologiese Studies-Theological Studies,N/A
INTERNATIONAL JOURNAL OF PHARMACY PRACTICE,N/A
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,N/A
IPSI BgD Transactions on Internet Research,N/A
Interactive Technology and Smart Education,N/A
International Bulletin of Mission Research,N/A
International Journal for Quality Research,N/A
International Journal of Academic Medicine,N/A
International Journal of Cancer Management,N/A
International Journal of Care Coordination,N/A
International Journal of Cultural Property,N/A
International Journal of Cyber Criminology,N/A
International Journal of Economic Sciences,N/A
International Journal of Financial Studies,N/A
International Journal of Health Governance,N/A
International Journal of Hydromechatronics,N/A
International Journal of Indigenous Health,N/A
International Journal of Medical Dentistry,N/A
International Journal of Medical Education,N/A
International Journal of Public Leadership,N/A
International Journal of Special Education,N/A
International Journal of Speech Technology,N/A
International Journal of Surgery Protocols,N/A
International Journal of Surgical Oncology,N/A
International Journal of Training Research,N/A
International Journal of Vascular Medicine,N/A
Nanosystems-Physics Chemistry Mathematics,N/A
New Review of Film and Television Studies,N/A
Obrazovanie i Nauka-Education and Science,N/A
Oral and Maxillofacial Surgery-Heidelberg,N/A
Papers in Language Testing and Assessment,N/A
Poe Studies-History Theory Interpretation,N/A
Problems of Atomic Science and Technology,N/A
Problems of Education in the 21st Century,N/A
Psicodebate-Psicologia Cultura y Sociedad,N/A
Quaderns de Filologia-Estudis Linguistics,N/A
Qualitative Research in financial Markets,N/A
RASP-Research on Ageing and Social Policy,N/A
RENASCENCE-ESSAYS ON VALUES IN LITERATURE,N/A
REVUE D HISTOIRE MODERNE ET CONTEMPORAINE,N/A
RIVISTA DI STORIA E LETTERATURA RELIGIOSA,N/A
Random Operators and Stochastic Equations,N/A
Reception-Texts Readers Audiences History,N/A
Religion and Society-Advances in Research,N/A
Res Publica-Revista de Filosofia Politica,N/A
Research and Reports in Tropical Medicine,N/A
Revista Brasileira de Computacao Aplicada,N/A
Revista Ciencias Pedagogicas e Innovacion,N/A
Revista Digital de Derecho Administrativo,N/A
Revista Electronica de Fuentes y Archivos,N/A
Revista Espanola de Ciencia Politica-RECP,N/A
Revista Espanola de Comunicacion en Salud,N/A
Revista General de Derecho Administrativo,N/A
Revista General de Derecho Constitucional,N/A
Revista Latinoamericana de Derecho Social,N/A
Revista Metropolitana de Sustentabilidade,N/A
Revista Universitaria de Historia Militar,N/A
STUDIES IN LATIN AMERICAN POPULAR CULTURE,N/A
Scandinavian Journal of the Old Testament,N/A
Scientific Papers-Series D-Animal Science,N/A
Social Welfare Interdisciplinary Approach,N/A
South African Journal of Cultural History,N/A
South African Journal of Higher Education,N/A
Southern African Journal of Critical Care,N/A
Statistika-Statistics and Economy Journal,N/A
Studia Slavica et Balcanica Petropolitana,N/A
Sztuka i Dokumentacja-Art & Documentation,N/A
Teaching Mathematics and Its Applications,N/A
Theoretical and Applied Mechanics Letters,N/A
Thunderbird International Business Review,N/A
